Jugador,Pais,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Min,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado,jugador_id
Mario Gaspar,ESP,Defensa,Villarreal,30,1990.0,24.8,22.2,1968.2,0.6,1.8,2.4,5.8,0.4,1.12,1.7600000000000002,"1,00 mill. €",2011
Mario Gila,ESP,Defensa,Real Madrid,23,2000.0,2.333333333333333,0.3333333333333333,68.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,00 mill. €",2012
Mario González,ESP,Delantero,Villarreal,21,1996.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,"3,50 mill. €",2013
Mario Hermoso,ESP,Defensa,Espanyol,28,1995.0,23.857142857142858,22.285714285714285,1947.857142857143,1.4285714285714286,0.7142857142857143,2.142857142857143,5.571428571428571,0.7142857142857143,1.4,0.5428571428571428,"20,00 mill. €",2014
Mario Hernández,ESP,Defensa,Rayo Vallecano,23,1999.0,6.0,3.0,249.0,0.5,0.0,0.5,2.0,0.0,0.15,0.0,600 mil €,2015
Mario Lemina,GAB,Centrocampista,Wolves,30,1993.0,19.666666666666668,16.0,1354.3333333333333,1.0,0.3333333333333333,1.3333333333333333,5.333333333333333,0.6666666666666666,1.0666666666666669,0.4333333333333333,"10,00 mill. €",2016
Mario Pašalić,CRO,Centrocampista,Atalanta,28,1995.0,28.0,18.6,1549.0,6.8,3.2,10.0,2.8,0.0,5.86,2.9000000000000004,"17,00 mill. €",2017
Mario Perrone,ITA,Defensa,Salernitana,18,2003.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50 mil €,2018
Mario Vrančić,BIH,Centrocampista,Norwich City,30,1989.0,20.0,6.0,636.0,1.0,0.0,1.0,3.0,0.0,1.5,0.9,300 mil €,2019
Marios Oikonomou,GRE,Defensa,Sampdoria,29,1992.0,6.0,3.0,220.0,0.0,0.0,0.0,3.0,0.0,0.3,0.0,300 mil €,2020
Mariusz Stępiński,POL,Delantero,Hellas Verona,24,1995.0,21.0,7.0,706.0,3.0,1.0,4.0,3.0,1.0,2.9,0.1,"1,50 mill. €",2021
Mark Flekken,NED,PO,Brentford,30,1993.0,12.0,12.0,1035.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"12,00 mill. €",2022
