Unnamed: 0,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor Mercado
1033,ESP,Centrocampista,Barcelona,29,1992,9,4,400,2,1,3,1,0,1.5,0.4,"4,00 mill. €"
1034,ESP,Centrocampista,Granada,30,1991,15,8,743,1,3,4,3,0,0.6,0.8,"1,50 mill. €"
1035,CHI,Defensa,Elche,28,1992,30,29,2552,1,0,1,10,0,1.3,0.1,"2,20 mill. €"
1036,ESP,Delantero,Betis,21,2000,21,10,881,1,2,3,1,0,1.4,1.8,"100,00 mill. €"
1037,POR,Defensa,Rayo Vallecano,27,1994,13,5,435,0,0,0,0,0,0.1,0.1,"5,00 mill. €"
1038,ESP,Delantero,Mallorca,34,1987,29,19,1544,4,2,6,4,0,3.9,0.9,600 mil €
1039,ESP,Centrocampista,Getafe,23,1998,18,9,943,0,1,1,2,0,1.0,0.9,700 mil €
1040,ESP,Delantero,Sevilla,23,1998,11,4,417,0,0,0,1,0,0.6,0.8,"5,00 mill. €"
1041,ESP,Centrocampista,Mallorca,33,1988,36,33,2832,3,3,6,7,0,3.2,2.8,"1,20 mill. €"
1042,ARG,Centrocampista,Betis,27,1994,32,29,2529,1,2,3,9,1,1.0,0.5,"100,00 mill. €"
1043,BRA,Delantero,Real Madrid,20,2001,33,17,1523,4,4,8,4,0,3.4,2.4,500 mil €
1045,ESP,Delantero,Sevilla,20,2001,5,2,178,0,0,0,0,0,0.7,0.0,"80,00 mill. €"
1046,ESP,Centrocampista,Alavés,19,2001,1,0,12,0,0,0,0,0,0.0,0.0,"5,00 mill. €"
1047,ESP,Defensa,Espanyol,20,2001,4,1,150,0,1,1,0,0,0.0,0.5,"28,00 mill. €"
1048,ESP,Delantero,Betis,25,1996,19,9,856,0,0,0,6,0,1.0,1.0,100 mil €
1049,ESP,Centrocampista,Granada,20,2001,8,3,283,0,0,0,1,0,0.1,0.1,400 mil €
1050,ESP,Defensa,Betis,32,1989,18,17,1424,0,0,0,2,0,0.9,0.1,"1,00 mill. €"
1051,ARG,PO,Villarreal,29,1992,32,32,2880,0,0,0,2,0,0.0,0.0,"10,00 mill. €"
1052,ARG,Defensa,Mallorca,26,1994,19,17,1464,1,0,1,7,2,0.2,0.2,"1,00 mill. €"
1053,AUS,PO,Real Sociedad,29,1992,3,3,270,0,0,0,0,0,0.0,0.0,"5,00 mill. €"
1054,SEN,Defensa,Betis,28,1993,10,9,788,0,1,1,1,0,0.1,0.5,"4,00 mill. €"
1055,ESP,Centrocampista,Cádiz,30,1991,23,17,1395,2,1,3,3,1,2.6,1.2,"2,00 mill. €"
1056,ESP,Centrocampista,Cádiz,24,1997,12,10,830,0,0,0,3,0,0.0,0.3,"30,00 mill. €"
1057,ESP,Delantero,Athletic Club,21,2000,27,16,1422,6,4,10,2,0,3.4,2.9,"2,20 mill. €"
1058,ESP,Centrocampista,Mallorca,24,1997,29,19,1616,1,0,1,3,1,1.4,0.4,"2,50 mill. €"
1059,ESP,Defensa,Granada,34,1986,32,25,2299,2,1,3,11,1,1.4,0.2,200 mil €
1061,ESP,Centrocampista,Osasuna,35,1986,25,8,758,1,0,1,3,0,0.7,0.2,"8,00 mill. €"
1062,ESP,Centrocampista,Valencia,17,2004,3,0,82,0,0,0,0,0,0.0,0.0,"1,00 mill. €"
1063,ESP,Defensa,Real Madrid,20,2001,1,0,11,0,0,0,0,0,0.0,0.1,100 mil €
1064,ESP,Centrocampista,Barcelona,20,2001,2,0,29,0,0,0,0,0,0.0,0.0,700 mil €
1065,URU,Defensa,Levante,23,1998,4,2,186,0,1,1,2,0,0.0,0.2,"1,50 mill. €"
1066,ESP,Defensa,Mallorca,24,1997,7,2,258,0,0,0,1,0,0.1,0.0,"1,50 mill. €"
1067,MNE,Defensa,Rayo Vallecano,30,1991,21,21,1700,0,0,0,4,0,0.6,0.0,500 mil €
1068,MNE,Defensa,Atlético Madrid,30,1991,28,28,2440,0,0,0,12,0,1.9,0.1,500 mil €
1069,SRB,Defensa,Mallorca,29,1991,10,3,404,0,0,0,5,1,0.0,0.1,"6,00 mill. €"
1070,ESP,Centrocampista,Atlético Madrid,18,2003,5,1,68,0,0,0,1,1,0.0,0.0,"1,50 mill. €"
1071,ESP,Centrocampista,Athletic Club,18,2003,14,3,317,1,0,1,0,0,0.4,0.1,700 mil €
1072,ESP,Centrocampista,Mallorca,37,1984,28,17,1507,5,3,8,2,0,4.8,2.8,200 mil €
1074,ARG,Defensa,Getafe,27,1994,9,1,226,0,0,0,4,0,0.0,0.1,"25,00 mill. €"
1075,POR,PO,Betis,27,1994,22,21,1964,0,0,0,2,0,0.0,0.0,800 mil €
1076,ARG,Centrocampista,Atlético Madrid,18,2002,1,0,1,0,0,0,0,0,0.0,0.0,"8,00 mill. €"
1077,ESP,PO,Athletic Club,24,1997,34,34,3060,0,0,0,3,0,0.0,0.0,"1,20 mill. €"
1078,ESP,PO,Alavés,24,1996,4,3,277,0,0,0,1,0,0.0,0.0,"2,00 mill. €"
1079,ESP,Centrocampista,Valencia,29,1992,1,0,14,0,0,0,0,0,0.0,0.0,"2,00 mill. €"
1080,ESP,Delantero,Cádiz,29,1992,33,19,1861,4,1,5,4,0,5.4,1.8,"3,00 mill. €"
1082,ARG,Centrocampista,Celta Vigo,29,1992,26,4,714,0,0,0,5,0,0.3,0.5,"20,00 mill. €"
1083,ESP,Delantero,Levante,36,1985,18,7,664,3,2,5,7,2,3.7,0.7,"1,50 mill. €"
1084,ESP,Centrocampista,Valencia,24,1997,32,28,2474,11,5,16,4,0,9.1,4.0,"8,00 mill. €"
1085,ESP,Defensa,Levante,27,1994,26,22,1971,1,0,1,5,1,0.9,1.3,"2,50 mill. €"
1086,ESP,PO,Getafe,28,1993,38,38,3414,0,0,0,4,0,0.0,0.0,"35,00 mill. €"
1087,ESP,Centrocampista,Granada,22,1999,16,7,578,0,0,0,0,0,0.8,0.5,"1,50 mill. €"
1088,ESP,Delantero,Celta Vigo,17,2003,1,0,2,0,0,0,0,0,0.0,0.0,"1,00 mill. €"
1089,URU,Defensa,Getafe,33,1988,35,31,2711,0,3,3,13,0,0.4,3.0,"2,50 mill. €"
1090,ESP,Centrocampista,Celta Vigo,27,1994,38,33,2819,4,6,10,4,0,2.2,4.4,500 mil €
1091,URU,Delantero,Atlético Madrid,34,1987,35,20,1835,11,2,13,7,0,10.0,1.3,"4,00 mill. €"
