,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Temporada
2735,Conor Coady,ENG,Defensa,Everton,29,1993,24,23,2096,1,1,2,2,0,0.8,0.3,2022-2023
2736,Jack Colback,ENG,Centrocampista,Nott'ham Forest,32,1989,11,4,497,0,0,0,0,0,0.0,0.2,2022-2023
2737,Séamus Coleman,IRL,Defensa,Everton,33,1988,23,20,1656,1,0,1,1,0,0.4,0.9,2022-2023
2738,Nathan Collins,IRL,Defensa,Wolves,21,2001,26,19,1814,0,0,0,2,1,0.2,0.1,2022-2023
2739,Levi Colwill,ENG,Defensa,Brighton,19,2003,17,13,1220,0,2,2,1,0,1.4,0.5,2022-2023
2740,Lewis Cook,ENG,Centrocampista,Bournemouth,25,1997,28,18,1720,0,2,2,4,0,0.2,2.5,2022-2023
2741,Steve Cook,ENG,Defensa,Nott'ham Forest,31,1991,12,11,957,0,0,0,4,0,0.1,0.6,2022-2023
2742,Liam Cooper,SCO,Defensa,Leeds United,30,1991,18,16,1426,1,0,1,5,0,1.0,0.7,2022-2023
2743,Maxwel Cornet,CIV,Delantero,West Ham,25,1996,14,2,245,0,0,0,0,0,1.3,0.1,2022-2023
2744,Diego Costa,ESP,Delantero,Wolves,33,1988,23,16,1241,1,0,1,5,1,3.2,0.7,2022-2023
2745,Vladimír Coufal,CZE,Defensa,West Ham,29,1992,27,24,2136,0,1,1,5,0,0.3,2.5,2022-2023
2746,Philippe Coutinho,BRA,Centrocampista,Aston Villa,30,1992,20,7,788,1,0,1,3,0,1.4,0.5,2022-2023
2747,Conor Coventry,IRL,Centrocampista,West Ham,22,2000,1,0,1,0,0,0,0,0,0.0,0.0,2022-2023
2748,Matthew Craig,SCO,Centrocampista,Tottenham,19,2003,1,0,14,0,0,0,0,0,0.0,0.0,2022-2023
2749,Aaron Cresswell,ENG,Defensa,West Ham,32,1989,28,24,2235,0,1,1,3,0,0.3,3.7,2022-2023
2750,Marc Cucurella,ESP,Defensa,Chelsea,24,1998,24,21,1671,0,2,2,4,0,0.4,0.6,2022-2023
2751,Matheus Cunha,BRA,Delantero,Wolves,23,1999,17,12,965,2,0,2,1,0,2.0,0.6,2022-2023
2752,Patson Daka,ZAM,Delantero,Leicester City,23,1998,30,13,1187,4,4,8,2,0,3.5,2.8,2022-2023
2753,Diogo Dalot,POR,Defensa,Manchester Utd,23,1999,26,24,2154,1,2,3,6,0,2.5,1.9,2022-2023
2754,Mikkel Damsgaard,DEN,Centrocampista,Brentford,22,2000,26,9,988,0,0,0,4,0,2.6,1.4,2022-2023
2755,Danilo,BRA,Centrocampista,Nott'ham Forest,21,2001,13,12,976,3,2,5,1,0,1.5,0.7,2022-2023
2756,Arnaut Danjuma,NED,Delantero,Tottenham,25,1997,9,1,169,1,0,1,0,0,0.8,0.0,2022-2023
2757,Josh Dasilva,ENG,Centrocampista,Brentford,23,1998,36,14,1389,4,2,6,1,0,1.5,1.5,2022-2023
2758,David Datro Fofana,CIV,Delantero,Chelsea,19,2002,3,1,70,0,0,0,0,0,0.2,0.1,2022-2023
2759,Ben Davies,WAL,Defensa,Tottenham,29,1993,31,26,2288,2,2,4,4,0,1.0,2.5,2022-2023
2760,Tom Davies,ENG,Centrocampista,Everton,24,1998,19,4,538,0,0,0,3,0,1.2,0.2,2022-2023
2761,Craig Dawson,ENG,Defensa,West Ham,32,1990,8,8,720,0,0,0,2,0,0.5,0.1,2022-2023
2762,Craig Dawson,ENG,Defensa,Wolves,32,1990,17,17,1414,1,0,1,4,0,1.0,0.0,2022-2023
2763,Kevin De Bruyne,BEL,Centrocampista,Manchester City,31,1991,32,28,2417,7,16,23,1,0,5.6,13.7,2022-2023
2764,Siriki Dembélé,CIV,Delantero,Bournemouth,25,1996,6,0,110,0,0,0,0,0,0.2,0.3,2022-2023
2765,Leander Dendoncker,BEL,Centrocampista,Aston Villa,27,1995,20,7,697,0,0,0,0,0,0.1,0.5,2022-2023
2766,Leander Dendoncker,BEL,Centrocampista,Wolves,27,1995,4,2,214,0,0,0,0,0,0.7,0.0,2022-2023
2767,Emmanuel Dennis,NGA,Delantero,Nott'ham Forest,24,1997,19,6,720,2,2,4,3,0,1.9,0.6,2022-2023
2768,Halil Dervişoğlu,TUR,Centrocampista,Brentford,22,1999,1,0,8,0,0,0,0,0,0.0,0.0,2022-2023
2769,Kiernan Dewsbury-Hall,ENG,Centrocampista,Leicester City,23,1998,31,28,2306,2,2,4,5,1,2.4,3.3,2022-2023
2770,Ibrahima Diallo,FRA,Centrocampista,Southampton,23,1999,18,11,819,0,0,0,4,0,0.2,0.1,2022-2023
2771,Rúben Dias,POR,Defensa,Manchester City,25,1997,26,22,1998,0,0,0,3,0,1.3,0.6,2022-2023
2772,Luis Díaz,COL,Delantero,Liverpool,25,1997,17,11,996,4,2,6,2,0,2.5,1.5,2022-2023
2773,Eric Dier,ENG,Defensa,Tottenham,28,1994,33,31,2818,2,1,3,3,0,1.6,1.2,2022-2023
2774,Lucas Digne,FRA,Defensa,Aston Villa,29,1993,28,18,1502,1,0,1,5,0,0.4,1.9,2022-2023
2775,Issa Diop,FRA,Defensa,Fulham,25,1997,25,21,2012,1,0,1,2,0,0.3,0.4,2022-2023
2776,Moussa Djenepo,MLI,Defensa,Southampton,24,1998,16,7,710,0,2,2,1,0,0.2,0.5,2022-2023
2777,Ben Doak,SCO,Delantero,Liverpool,16,2005,2,0,26,0,0,0,0,0,0.0,0.0,2022-2023
2778,Matt Doherty,IRL,Defensa,Tottenham,30,1992,12,7,667,1,0,1,0,0,0.8,0.3,2022-2023
2779,Gabriel Dos Santos,BRA,Defensa,Arsenal,24,1997,38,38,3409,3,0,3,5,0,5.1,0.3,2022-2023
2780,Abdoulaye Doucouré,MLI,Centrocampista,Everton,29,1993,25,17,1533,5,2,7,6,1,2.4,2.2,2022-2023
2781,Cheick Doucouré,MLI,Centrocampista,Crystal Palace,22,2000,34,34,2769,0,3,3,10,1,1.4,1.9,2022-2023
2782,Flynn Downes,ENG,Centrocampista,West Ham,23,1999,21,7,762,0,0,0,2,0,0.4,0.1,2022-2023
2783,Kami Doyle,ENG,Centrocampista,Southampton,16,2005,1,0,7,0,0,0,0,0,0.0,0.0,2022-2023
2784,Cody Drameh,ENG,Defensa,Leeds United,20,2001,1,1,69,0,0,0,0,0,0.0,0.0,2022-2023
2785,Martin Dúbravka,SVK,PO,Newcastle Utd,33,1989,2,1,157,0,0,0,0,0,0.0,0.0,2022-2023
2786,Shane Duffy,IRL,Defensa,Fulham,30,1992,5,0,20,0,0,0,0,0,0.2,0.0,2022-2023
2787,Lewis Dunk,ENG,Defensa,Brighton,30,1991,36,36,3239,1,0,1,4,0,1.7,1.0,2022-2023
2788,Jhon Durán,COL,Delantero,Aston Villa,18,2003,12,0,136,0,0,0,1,0,0.6,0.0,2022-2023
2789,Malcolm Ebiowei,ENG,Centrocampista,Crystal Palace,18,2003,3,0,34,0,0,0,0,0,0.0,0.0,2022-2023
2790,Ederson,BRA,PO,Manchester City,28,1993,35,35,3150,0,1,1,3,0,0.0,0.2,2022-2023
2791,Odsonne Édouard,FRA,Delantero,Crystal Palace,24,1998,35,20,1803,5,2,7,3,0,4.2,1.2,2022-2023
2792,Samuel Edozie,ENG,Delantero,Southampton,19,2003,17,5,567,0,0,0,0,0,0.9,0.4,2022-2023
2793,Anthony Elanga,SWE,Delantero,Manchester Utd,20,2002,16,5,426,0,1,1,0,0,0.7,0.9,2022-2023
2794,Harvey Elliott,ENG,Centrocampista,Liverpool,19,2003,32,18,1613,1,2,3,2,0,2.1,3.6,2022-2023
2795,Mohamed Elneny,EGY,Centrocampista,Arsenal,30,1992,5,1,113,0,0,0,0,0,0.0,0.0,2022-2023
2796,Mohamed Elyounoussi,NOR,Centrocampista,Southampton,27,1994,33,27,2168,1,1,2,4,0,3.5,2.1,2022-2023
2797,Emerson,BRA,Defensa,Tottenham,23,1999,26,20,1735,2,1,3,2,1,1.7,0.6,2022-2023
2798,Christian Eriksen,DEN,Centrocampista,Manchester Utd,30,1992,28,25,2048,1,8,9,3,0,5.0,4.2,2022-2023
2799,Pervis Estupiñán,ECU,Defensa,Brighton,24,1998,35,31,2675,1,5,6,4,0,1.7,5.4,2022-2023
2800,Jonny Evans,NIR,Defensa,Leicester City,34,1988,13,12,1051,0,0,0,1,0,0.2,0.0,2022-2023
2801,Eberechi Eze,ENG,Centrocampista,Crystal Palace,24,1998,38,30,2636,10,4,14,3,0,7.3,4.3,2022-2023
2802,Łukasz Fabiański,POL,PO,West Ham,37,1985,36,36,3111,0,0,0,1,0,0.0,0.0,2022-2023
2803,Fabinho,BRA,Centrocampista,Liverpool,28,1993,36,31,2671,0,2,2,11,0,0.7,2.1,2022-2023
2804,Wout Faes,BEL,Defensa,Leicester City,24,1998,31,31,2786,1,2,3,6,1,1.2,0.6,2022-2023
2805,Felipe,BRA,Defensa,Nott'ham Forest,33,1989,16,15,1418,0,1,1,4,0,1.2,0.9,2022-2023
2806,João Félix,POR,Delantero,Chelsea,22,1999,16,11,941,4,0,4,1,1,4.9,0.5,2022-2023
2807,Evan Ferguson,IRL,Delantero,Brighton,17,2004,19,10,950,6,2,8,1,0,5.3,0.7,2022-2023
2808,Bruno Fernandes,POR,Centrocampista,Manchester Utd,27,1994,37,37,3316,8,8,16,6,0,9.3,16.7,2022-2023
2809,Enzo Fernández,ARG,Centrocampista,Chelsea,21,2001,18,18,1547,0,2,2,3,0,0.8,2.4,2022-2023
2810,Roberto Firmino,BRA,Delantero,Liverpool,30,1991,25,13,1213,11,4,15,0,0,5.5,2.5,2022-2023
2811,Junior Firpo,ESP,Defensa,Leeds United,25,1996,19,14,1368,1,1,2,6,1,0.1,0.8,2022-2023
2812,Phil Foden,ENG,Delantero,Manchester City,22,2000,32,22,1842,11,6,17,1,0,5.9,4.7,2022-2023
2813,Wesley Fofana,FRA,Defensa,Leicester City,21,2000,2,2,180,0,0,0,1,0,0.1,0.0,2022-2023
2814,Wesley Fofana,FRA,Defensa,Chelsea,21,2000,15,12,1183,1,0,1,3,0,0.7,0.1,2022-2023
2815,Pablo Fornals,ESP,Delantero,West Ham,26,1996,32,17,1503,3,1,4,0,0,2.2,1.7,2022-2023
2816,Adam Forshaw,ENG,Centrocampista,Leeds United,30,1991,12,5,479,0,0,0,0,0,0.0,0.9,2022-2023
2817,Fraser Forster,ENG,PO,Tottenham,34,1988,14,13,1215,0,0,0,1,0,0.0,0.0,2022-2023
2818,Tyrese Francois,AUS,Delantero,Fulham,22,2000,1,0,1,0,0,0,0,0,0.0,0.0,2022-2023
2819,Ryan Fraser,SCO,Delantero,Newcastle Utd,28,1994,8,3,313,0,0,0,1,0,0.3,0.4,2022-2023
2820,Fred,BRA,Centrocampista,Manchester Utd,29,1993,35,12,1249,2,2,4,6,0,2.0,2.9,2022-2023
2821,Ryan Fredericks,ENG,Defensa,Bournemouth,29,1992,12,5,533,0,0,0,1,0,0.0,0.1,2022-2023
2822,Remo Freuler,SUI,Centrocampista,Nott'ham Forest,30,1992,28,24,2161,0,0,0,4,0,0.4,0.8,2022-2023
2823,Cody Gakpo,NED,Delantero,Liverpool,23,1999,21,17,1458,7,2,9,0,0,6.2,2.7,2022-2023
2824,Conor Gallagher,ENG,Centrocampista,Chelsea,22,2000,35,18,1621,3,1,4,11,1,2.5,2.3,2022-2023
2825,Idrissa Gana Gueye,SEN,Centrocampista,Everton,32,1989,33,32,2577,0,1,1,7,0,0.7,1.1,2022-2023
2826,Alejandro Garnacho,ARG,Delantero,Manchester Utd,18,2004,19,5,569,3,2,5,3,0,3.0,1.0,2022-2023
2827,James Garner,ENG,Centrocampista,Everton,21,2001,16,7,804,0,1,1,3,0,0.8,0.5,2022-2023
2828,David de Gea,ESP,PO,Manchester Utd,31,1990,38,38,3420,0,0,0,0,0,0.0,0.1,2022-2023
2829,Joe Gelhardt,ENG,Delantero,Leeds United,20,2002,15,1,212,0,2,2,1,0,0.8,0.5,2022-2023
2830,Saman Ghoddos,IRN,Centrocampista,Brentford,28,1993,15,0,139,0,0,0,0,0,0.0,0.4,2022-2023
2831,Morgan Gibbs-White,ENG,Delantero,Wolves,22,2000,2,2,180,0,0,0,1,0,0.7,0.1,2022-2023
2832,Morgan Gibbs-White,ENG,Centrocampista,Nott'ham Forest,22,2000,35,34,2971,5,8,13,5,0,6.0,8.2,2022-2023
2833,Bryan Gil,ESP,Centrocampista,Tottenham,21,2001,4,2,148,0,1,1,1,0,0.1,0.2,2022-2023
2834,Billy Gilmour,SCO,Centrocampista,Brighton,21,2001,14,7,507,0,1,1,1,0,0.5,0.2,2022-2023
2835,Degnand Gnonto,ITA,Delantero,Leeds United,18,2003,24,14,1354,2,4,6,7,0,1.8,2.2,2022-2023
2836,Ben Godfrey,ENG,Defensa,Everton,24,1998,13,10,802,0,1,1,2,0,1.2,0.2,2022-2023
2837,João Gomes,BRA,Centrocampista,Wolves,21,2001,11,7,653,1,0,1,5,0,0.3,0.2,2022-2023
2838,Toti Gomes,POR,Defensa,Wolves,23,1999,17,10,984,1,0,1,6,0,0.4,0.3,2022-2023
2839,Joe Gomez,ENG,Defensa,Liverpool,25,1997,21,15,1466,0,0,0,3,0,0.2,0.2,2022-2023
2840,Sergio Gómez,ESP,Defensa,Manchester City,21,2000,12,2,349,0,1,1,0,0,0.4,1.2,2022-2023
2841,Anthony Gordon,ENG,Delantero,Newcastle Utd,21,2001,16,4,487,1,0,1,1,0,1.7,0.9,2022-2023
2842,Anthony Gordon,ENG,Delantero,Everton,21,2001,16,12,1095,3,0,3,6,0,3.3,0.6,2022-2023
2843,Demarai Gray,JAM,Delantero,Everton,26,1996,33,27,2507,4,1,5,3,0,6.2,3.8,2022-2023
2844,Jack Grealish,ENG,Delantero,Manchester City,26,1995,28,23,2055,5,7,12,4,0,4.6,7.1,2022-2023
2845,Sam Greenwood,ENG,Centrocampista,Leeds United,20,2002,18,3,424,1,2,3,1,0,0.7,1.1,2022-2023
2846,Pascal Groß,GER,Centrocampista,Brighton,31,1991,37,37,3239,9,8,17,6,0,5.4,10.9,2022-2023
2847,Vicente Guaita,ESP,PO,Crystal Palace,35,1987,27,27,2430,0,0,0,1,0,0.0,0.0,2022-2023
2848,Gonçalo Guedes,POR,Delantero,Wolves,25,1996,13,8,707,1,1,2,1,0,1.2,0.5,2022-2023
2849,Marc Guéhi,ENG,Defensa,Crystal Palace,22,2000,37,37,3329,1,0,1,8,0,1.5,0.5,2022-2023
2850,Bruno Guimarães,BRA,Centrocampista,Newcastle Utd,24,1997,32,32,2726,4,5,9,7,0,2.8,4.0,2022-2023
2851,İlkay Gündoğan,GER,Centrocampista,Manchester City,31,1990,31,27,2353,8,4,12,0,0,7.5,3.3,2022-2023
2852,Darko Gyabi,ENG,Delantero,Leeds United,18,2004,1,0,8,0,0,0,0,0,0.1,0.0,2022-2023
2853,Erling Haaland,NOR,Delantero,Manchester City,22,2000,35,33,2769,36,8,44,5,0,28.4,5.3,2022-2023
2854,Lewis Hall,ENG,Defensa,Chelsea,17,2004,9,8,654,0,0,0,1,0,0.9,2.2,2022-2023
2855,Luke Harris,WAL,Centrocampista,Fulham,17,2005,3,0,13,0,0,0,0,0,0.0,0.0,2022-2023
