Unnamed: 0,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor Mercado
386,Rodrygo,BRA,Delantero,Real Madrid,22,2001,14,11,966,5,4,9,0,0,5.8,1.4,"5,00 mill. €"
387,Carlos Romero,ESP,Defensa,Villarreal,22,2001,5,2,170,0,0,0,1,0,0.1,0.0,"5,00 mill. €"
388,Oriol Romeu,ESP,Centrocampista,Barcelona,32,1991,13,9,631,0,1,1,3,0,0.6,0.8,-
389,Antonio Rüdiger,GER,Defensa,Real Madrid,30,1993,13,12,1121,0,0,0,6,0,0.3,0.7,"32,00 mill. €"
390,Aitor Ruibal,ESP,Delantero,Betis,27,1996,6,3,243,0,1,1,2,0,0.3,1.0,"5,00 mill. €"
391,Sergio Ruiz,ESP,Centrocampista,Granada,28,1994,12,7,632,0,0,0,3,0,0.3,0.3,"1,00 mill. €"
392,Youssouf Sabaly,SEN,Defensa,Betis,30,1993,3,3,270,0,1,1,0,0,0.0,0.3,"5,00 mill. €"
393,Umar Sadiq,NGA,Delantero,Real Sociedad,26,1997,12,4,366,1,1,2,2,0,1.8,0.3,"16,00 mill. €"
394,Kike Salas,ESP,Defensa,Sevilla,21,2002,3,2,173,1,0,1,2,0,0.2,0.0,"2,20 mill. €"
395,Salvi,ESP,Centrocampista,Rayo Vallecano,32,1991,1,0,28,0,0,0,0,0,0.0,0.0,"2,00 mill. €"
396,Fede San Emeterio,ESP,Centrocampista,Cádiz,26,1997,3,2,138,1,0,1,1,1,0.1,0.1,-
397,Marciano Sanca,GNB,Delantero,Almería,19,2004,6,0,43,0,0,0,0,0,0.0,0.0,"2,50 mill. €"
398,Oihan Sancet,ESP,Centrocampista,Athletic Club,23,2000,12,11,877,3,3,6,2,2,2.8,2.0,"1,00 mill. €"
399,Ricard Sánchez,ESP,Defensa,Granada,23,2000,13,10,921,2,0,2,4,0,0.2,1.0,"30,00 mill. €"
400,Antonio Sánchez,ESP,Centrocampista,Mallorca,26,1997,9,7,464,1,1,2,1,0,0.8,0.5,"3,00 mill. €"
401,Juanlu Sánchez,ESP,Defensa,Sevilla,20,2003,7,4,361,0,2,2,1,0,0.2,0.6,-
402,Manu Sánchez,ESP,Defensa,Celta Vigo,23,2000,11,8,774,0,1,1,1,0,0.1,0.9,"8,00 mill. €"
403,Stefan Savić,MNE,Defensa,Atlético Madrid,32,1991,8,7,597,0,0,0,2,0,0.0,0.0,"6,00 mill. €"
404,Sávio,BRA,Centrocampista,Girona,19,2004,14,14,1129,4,4,8,1,0,2.0,3.2,"2,50 mill. €"
405,Aleksandar Sedlar,SRB,Defensa,Alavés,31,1991,11,11,946,1,0,1,2,0,0.3,0.1,500 mil €
406,André Silva,POR,Delantero,Real Sociedad,28,1995,2,0,31,0,0,0,0,0,0.2,0.0,"1,50 mill. €"
407,Rui Silva,POR,PO,Betis,29,1994,5,5,405,0,0,0,0,0,0.0,0.0,"8,00 mill. €"
408,Unai Simón,ESP,PO,Athletic Club,26,1997,14,14,1260,0,0,0,2,0,0.0,0.0,"12,00 mill. €"
409,Daley Sinkgraven,NED,Defensa,Las Palmas,28,1995,4,3,144,0,0,0,0,0,0.0,0.0,"1,20 mill. €"
410,Antonio Sivera,ESP,PO,Alavés,27,1996,14,14,1260,0,0,0,1,0,0.0,0.1,"25,00 mill. €"
411,Rubén Sobrino,ESP,Centrocampista,Cádiz,31,1992,11,2,373,0,0,0,5,0,0.0,0.1,"2,00 mill. €"
412,Alex Sola,ESP,Delantero,Alavés,24,1999,10,7,535,0,0,0,1,0,0.7,0.6,"3,00 mill. €"
413,Jhon Solis,COL,Centrocampista,Girona,19,2004,2,0,7,0,0,0,0,0,0.0,0.0,"8,00 mill. €"
414,David Soria,ESP,PO,Getafe,30,1993,14,14,1260,0,0,0,2,0,0.0,0.0,"3,00 mill. €"
415,Alberto Soro,ESP,Centrocampista,Granada,24,1999,1,0,8,0,0,0,0,0,0.0,0.0,500 mil €
416,Hugo Sotelo,ESP,Centrocampista,Celta Vigo,19,2003,7,3,271,0,0,0,0,0,0.1,0.1,"5,00 mill. €"
417,Boubakary Soumaré,FRA,Centrocampista,Sevilla,24,1999,7,5,437,0,0,0,3,0,0.0,0.0,"15,00 mill. €"
418,Djibril Sow,SUI,Centrocampista,Sevilla,26,1997,10,8,627,1,1,2,2,0,1.0,0.6,"1,50 mill. €"
419,Çağlar Söyüncü,TUR,Defensa,Atlético Madrid,27,1996,4,0,65,0,0,0,0,0,0.0,0.0,"22,00 mill. €"
420,Carl Starfelt,SWE,Defensa,Celta Vigo,28,1995,13,13,1170,1,0,1,2,0,1.1,0.1,"15,00 mill. €"
421,Jørgen Strand Larsen,NOR,Delantero,Celta Vigo,23,2000,14,14,1069,4,0,4,1,0,4.6,0.6,"12,00 mill. €"
422,Cristhian Stuani,URU,Delantero,Girona,37,1986,14,5,513,3,1,4,4,0,4.0,0.5,"2,00 mill. €"
423,Álex Suárez,ESP,Defensa,Las Palmas,30,1993,13,13,1107,0,0,0,2,0,0.1,0.1,"1,00 mill. €"
424,Damián Suárez,URU,Defensa,Getafe,35,1988,12,12,1018,0,1,1,4,0,0.2,0.5,"1,00 mill. €"
425,Denis Suárez,ESP,Centrocampista,Villarreal,29,1994,4,1,133,0,0,0,0,0,0.1,0.3,"2,50 mill. €"
426,Suso,ESP,Delantero,Sevilla,30,1993,11,7,613,1,1,2,2,0,1.0,2.0,"6,00 mill. €"
427,Williot Swedberg,SWE,Delantero,Celta Vigo,19,2004,6,0,53,1,0,1,0,0,0.3,0.0,150 mil €
428,Mamadou Sylla,SEN,Delantero,Alavés,29,1994,2,0,18,0,0,0,0,0,0.0,0.0,"1,00 mill. €"
429,Alexander Sørloth,NOR,Delantero,Villarreal,27,1995,13,13,976,6,1,7,1,0,4.6,0.8,"5,00 mill. €"
430,Renato Tapia,PER,Centrocampista,Celta Vigo,28,1995,6,2,199,0,0,0,3,1,0.1,0.0,"2,00 mill. €"
431,César Tárrega,ESP,Defensa,Valencia,21,2002,1,0,8,0,0,0,0,0,0.0,0.0,"90,00 mill. €"
432,Aurélien Tchouaméni,FRA,Centrocampista,Real Madrid,23,2000,11,10,841,1,0,1,2,0,0.7,0.3,"14,00 mill. €"
433,Nahuel Tenaglia,ARG,Defensa,Alavés,27,1996,6,1,99,0,0,0,0,0,0.0,0.0,"3,00 mill. €"
434,Marc-André ter Stegen,GER,PO,Barcelona,31,1992,13,13,1170,0,0,0,1,0,0.0,0.0,"35,00 mill. €"
435,Ramón Terrats,ESP,Centrocampista,Villarreal,23,2000,10,4,463,0,0,0,2,0,0.3,0.1,"25,00 mill. €"
436,Kieran Tierney,SCO,Defensa,Real Sociedad,26,1997,4,4,231,0,1,1,0,0,0.0,0.2,"4,00 mill. €"
437,Raúl de Tomás,ESP,Delantero,Rayo Vallecano,29,1994,11,7,552,0,2,2,3,0,1.1,1.2,"6,00 mill. €"
438,Pablo Torre,ESP,Centrocampista,Girona,20,2003,9,0,139,0,0,0,0,0,0.4,0.4,"2,50 mill. €"
439,Raúl Torrente,ESP,Defensa,Granada,22,2001,9,7,674,0,0,0,2,0,0.1,0.1,"35,00 mill. €"
440,Ferrán Torres,ESP,Delantero,Barcelona,23,2000,13,7,626,3,0,3,1,0,2.1,1.8,"2,50 mill. €"
441,Óliver Torres,ESP,Centrocampista,Sevilla,29,1994,10,6,557,0,0,0,3,0,0.3,0.4,"6,00 mill. €"
442,Lucas Torró,ESP,Centrocampista,Osasuna,29,1994,11,10,842,0,0,0,3,0,0.8,0.0,"1,50 mill. €"
443,Hamari Traoré,MLI,Defensa,Real Sociedad,31,1992,14,13,1091,0,2,2,4,0,0.1,1.0,"8,00 mill. €"
444,Óscar Trejo,ARG,Delantero,Rayo Vallecano,35,1988,13,8,596,0,0,0,2,0,0.5,0.5,"10,00 mill. €"
445,Manu Trigueros,ESP,Centrocampista,Villarreal,32,1991,4,1,124,0,0,0,0,0,0.4,0.0,"2,50 mill. €"
446,Viktor Tsyhankov,UKR,Centrocampista,Girona,26,1997,12,10,785,3,2,5,0,0,2.6,3.1,"9,00 mill. €"
447,Beñat Turrientes,ESP,Centrocampista,Real Sociedad,21,2002,9,6,466,0,0,0,1,0,0.6,0.4,"5,00 mill. €"
448,Myrto Uzuni,ALB,Delantero,Granada,28,1995,14,12,1023,5,0,5,1,0,4.9,0.9,"22,00 mill. €"
449,Óscar Valentín,ESP,Centrocampista,Rayo Vallecano,29,1994,13,12,1097,1,0,1,3,1,1.0,0.4,"5,00 mill. €"
450,Martin Valjent,SVK,Defensa,Mallorca,27,1995,13,13,1125,0,0,0,2,0,0.1,0.0,"4,50 mill. €"
451,Jesús Vallejo,ESP,Defensa,Granada,26,1997,2,1,97,0,0,0,1,0,0.0,0.0,"4,00 mill. €"
452,Álvaro Vallés,ESP,PO,Las Palmas,26,1997,14,14,1260,0,0,0,0,0,0.0,0.0,"100,00 mill. €"
453,Federico Valverde,URU,Centrocampista,Real Madrid,25,1998,14,13,1114,1,2,3,1,0,1.5,2.7,"4,00 mill. €"
454,Siebe Van Der Heyden,BEL,Defensa,Mallorca,25,1998,4,3,230,0,0,0,1,0,0.1,0.0,"8,00 mill. €"
455,José Luis García Vayá,ESP,Centrocampista,Valencia,25,1998,14,14,1232,2,0,2,2,0,1.9,1.6,"2,00 mill. €"
456,Jesus Vazquez,ESP,Centrocampista,Valencia,20,2003,2,0,25,0,0,0,0,0,0.0,0.0,"1,00 mill. €"
457,Kevin Vázquez,ESP,Defensa,Celta Vigo,30,1993,5,5,331,0,0,0,1,0,0.0,0.0,"2,00 mill. €"
458,Lucas Vázquez,ESP,Defensa,Real Madrid,32,1991,10,1,176,0,1,1,0,0,0.2,0.8,"6,00 mill. €"
459,Gabriel Veiga,ESP,Delantero,Celta Vigo,21,2002,1,0,18,0,0,0,0,0,0.0,0.0,"30,00 mill. €"
460,Mikel Vesga,ESP,Centrocampista,Athletic Club,30,1993,11,10,838,2,1,3,1,0,2.0,1.1,"1,50 mill. €"
461,Nacho Vidal,ESP,Delantero,Osasuna,28,1995,3,0,62,1,0,1,0,0,0.2,0.0,"6,00 mill. €"
462,Jonathan Viera,ESP,Centrocampista,Las Palmas,34,1989,9,7,617,2,1,3,1,0,2.3,1.0,"3,00 mill. €"
463,Asier Villalibre,ESP,Delantero,Athletic Club,26,1997,7,0,147,1,1,2,0,0,0.8,0.9,"2,50 mill. €"
464,Gonzalo Villar,ESP,Centrocampista,Granada,25,1998,13,7,652,1,3,4,4,0,1.1,1.0,"15,00 mill. €"
465,Iván Villar,ESP,PO,Celta Vigo,26,1997,10,10,834,0,0,0,0,1,0.0,0.1,"3,00 mill. €"
466,Daniel Vivian,ESP,Defensa,Athletic Club,24,1999,14,14,1244,0,0,0,2,0,0.5,0.6,"2,00 mill. €"
467,Shon Weissman,ISR,Delantero,Granada,27,1996,4,0,55,0,0,0,0,0,0.0,0.0,"2,80 mill. €"
468,Iñaki Williams,GHA,Delantero,Athletic Club,29,1994,14,14,1229,6,3,9,2,0,4.6,4.4,"40,00 mill. €"
469,Nico Williams,ESP,Delantero,Athletic Club,21,2002,11,11,802,1,5,6,1,0,2.7,3.1,-
470,Axel Witsel,BEL,Defensa,Atlético Madrid,34,1989,12,11,1009,1,0,1,0,0,0.8,0.3,"15,00 mill. €"
471,Xeber,ESP,Delantero,Alavés,26,1997,8,3,272,0,0,0,1,0,0.4,0.6,"25,00 mill. €"
472,Lamine Yamal,ESP,Delantero,Barcelona,16,2007,14,7,718,1,1,2,1,0,2.1,2.0,"4,00 mill. €"
473,Roman Yaremchuk,UKR,Delantero,Valencia,28,1995,8,2,178,0,0,0,0,0,0.2,0.1,"50,00 mill. €"
474,Arsen Zakharyan,RUS,Centrocampista,Real Sociedad,20,2003,8,2,207,0,0,0,0,0,0.1,0.4,"5,00 mill. €"
475,Joseba Zaldúa,ESP,Defensa,Cádiz,31,1992,2,2,139,0,0,0,0,0,0.0,0.0,"40,00 mill. €"
476,Bryan Zaragoza,ESP,Centrocampista,Granada,22,2001,13,10,937,5,2,7,5,0,2.7,2.0,"18,00 mill. €"
477,Igor Zubeldia,ESP,Defensa,Real Sociedad,26,1997,13,12,1081,0,0,0,6,0,0.2,0.6,"1,50 mill. €"
478,Martín Zubimendi,ESP,Centrocampista,Real Sociedad,24,1999,14,12,1158,2,1,3,2,0,1.2,1.0,"8,00 mill. €"
