Unnamed: 0,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor Mercado
2758,Federico Valverde,URU,Centrocampista,Real Madrid,20,1998,16,6,656,0,0,0,4,0,0.3,0.3,"4,00 mill. €"
2759,Raphaël Varane,FRA,Defensa,Real Madrid,25,1993,32,31,2754,2,0,2,0,1,2.1,0.3,"1,50 mill. €"
2760,Franco Vázquez,ARG,Centrocampista,Sevilla,29,1989,34,26,2280,3,4,7,8,1,4.1,3.9,"35,00 mill. €"
2761,Kevin Vázquez,ESP,Defensa,Celta Vigo,25,1993,4,2,220,0,0,0,0,0,0.0,0.0,"6,00 mill. €"
2762,Lucas Vázquez,ESP,Delantero,Real Madrid,27,1991,31,15,1510,1,3,4,6,1,2.6,4.7,"1,00 mill. €"
2763,Koke Vegas,ESP,PO,Levante,22,1995,1,1,90,0,0,0,0,0,0.0,0.0,300 mil €
2764,Emiliano Velázquez,URU,Defensa,Rayo Vallecano,24,1994,18,14,1277,0,2,2,8,0,1.0,0.8,"1,00 mill. €"
2765,Daniele Verde,ITA,Centrocampista,Valladolid,22,1996,22,4,657,2,0,2,1,0,1.6,1.4,"2,20 mill. €"
2766,Thomas Vermaelen,BEL,Defensa,Barcelona,32,1985,9,7,587,0,0,0,2,0,0.1,0.0,-
2767,Mikel Vesga,ESP,Centrocampista,Leganés,25,1993,26,23,2070,1,1,2,3,0,0.8,1.1,"6,00 mill. €"
2768,Rúben Vezo,POR,Defensa,Levante,24,1994,15,15,1339,2,1,3,4,0,0.7,1.1,"2,50 mill. €"
2769,Rúben Vezo,POR,Defensa,Valencia,24,1994,4,2,196,0,0,0,2,0,0.1,0.1,"2,50 mill. €"
2770,Aleix Vidal,ESP,Defensa,Sevilla,28,1989,11,5,528,0,0,0,3,0,0.4,1.0,"1,00 mill. €"
2771,Arturo Vidal,CHI,Centrocampista,Barcelona,31,1987,33,22,1929,3,7,10,7,0,3.4,4.8,700 mil €
2772,Carlos Vigaray,ESP,Defensa,Alavés,23,1994,8,7,647,0,0,0,1,0,0.0,0.2,200 mil €
2773,Dídac Vilà,ESP,Defensa,Espanyol,29,1989,27,27,2354,0,2,2,11,0,1.9,3.0,"2,50 mill. €"
2774,Toni Villa,ESP,Centrocampista,Valladolid,23,1995,26,21,1762,2,2,4,3,0,1.9,2.2,500 mil €
2775,Vitolo,ESP,Centrocampista,Atlético Madrid,28,1989,20,5,753,0,1,1,1,0,0.9,1.0,-
2776,Nikola Vukčević,MNE,Centrocampista,Levante,26,1991,16,9,670,0,0,0,5,1,0.0,0.1,400 mil €
2777,Moussa Wagué,SEN,Defensa,Barcelona,19,1998,3,2,225,0,0,0,1,0,0.1,0.3,600 mil €
2778,Wakaso,GHA,Centrocampista,Alavés,28,1990,29,18,1669,1,1,2,9,0,1.2,0.4,"1,50 mill. €"
2779,Daniel Wass,DEN,Defensa,Valencia,29,1989,32,26,2354,1,3,4,4,0,1.4,4.3,800 mil €
2780,Axel Werner,ARG,PO,Huesca,22,1996,6,6,540,0,0,0,0,0,0.0,0.0,800 mil €
2781,Iñaki Williams,GHA,Delantero,Athletic Club,24,1994,38,36,3025,13,4,17,3,0,13.1,3.3,"25,00 mill. €"
2782,Maximilian Wöber,AUT,Defensa,Sevilla,20,1998,7,6,536,0,0,0,2,0,0.2,0.6,"14,00 mill. €"
2783,Yoel,ESP,PO,Valladolid,29,1988,3,3,270,0,0,0,0,0,0.0,0.0,600 mil €
2784,Okay Yokuşlu,TUR,Centrocampista,Celta Vigo,24,1994,30,26,2198,2,0,2,10,0,1.7,0.7,"3,00 mill. €"
2785,Joseba Zaldúa,ESP,Defensa,Real Sociedad,26,1992,26,25,2139,1,2,3,7,0,0.1,1.9,-
2786,Nabil El Zhar,MAR,Centrocampista,Leganés,31,1986,27,9,966,4,0,4,0,0,2.9,0.9,"2,00 mill. €"
2787,Luca Zidane,FRA,PO,Real Madrid,20,1998,1,1,90,0,0,0,0,0,0.0,0.0,"1,50 mill. €"
2788,Igor Zubeldia,ESP,Centrocampista,Real Sociedad,21,1997,33,29,2549,0,1,1,7,0,0.5,1.0,"18,00 mill. €"
2789,Martín Zubimendi,ESP,Centrocampista,Real Sociedad,19,1999,1,0,7,0,0,0,0,0,0.0,0.4,"40,00 mill. €"
2790,David Zurutuza,ESP,Centrocampista,Real Sociedad,32,1986,21,13,1222,2,0,2,2,0,1.6,0.6,-
2791,Aly Abeid,MTN,Defensa,Levante,19,1997,1,1,77,0,0,0,0,0,0.0,0.1,300 mil €
2792,Antonio Adán,ESP,PO,Betis,30,1987,30,30,2700,0,2,2,4,0,0.0,0.7,"1,00 mill. €"
2793,Aday,ESP,Defensa,Girona,29,1987,31,20,1835,2,0,2,10,0,2.8,1.6,-
2794,Aritz Aduriz,ESP,Delantero,Athletic Club,36,1981,33,21,2152,9,1,10,5,0,11.1,1.5,-
2795,Imanol Agirretxe,ESP,Delantero,Real Sociedad,30,1987,11,2,232,0,0,0,0,0,1.2,0.0,-
2796,Matías Aguirregaray,URU,Defensa,Las Palmas,28,1989,15,14,1153,0,0,0,3,0,0.6,0.6,100 mil €
2797,Ager Aketxe,ESP,Centrocampista,Athletic Club,23,1993,3,0,37,0,0,0,1,0,0.1,0.0,150 mil €
2798,David Alba,ESP,Defensa,Getafe,18,1999,1,1,61,0,0,0,0,0,0.0,0.0,"7,00 mill. €"
2799,Jordi Alba,ESP,Defensa,Barcelona,28,1989,33,30,2744,2,8,10,7,0,2.1,6.1,200 mil €
2800,Raúl Albentosa,ESP,Defensa,La Coruña,28,1988,20,19,1748,1,0,1,5,0,1.5,0.2,"4,00 mill. €"
2801,Paco Alcácer,ESP,Centrocampista,Barcelona,23,1993,17,8,695,4,3,7,0,0,3.9,2.1,400 mil €
