Jugador,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
Filip Malbašić,27,1992.0,28.0,8.0,860.0,0.0,1.0,1.0,2.0,0.0,0.8,0.7
Filip Đuričić,30,1992.0,26.25,20.5,1638.5,3.75,2.5,6.25,5.25,0.0,3.475,3.35
Filipe Luís,32,1985.0,23.5,21.5,1844.5,1.5,2.0,3.5,4.0,0.0,0.55,1.55
Filippo Bandinelli,27,1995.0,35.0,26.0,2109.0,2.0,1.5,3.5,10.0,0.0,1.9500000000000002,3.0
Filippo Delli Carri,22,1999.0,5.0,3.0,334.0,0.0,0.0,0.0,1.0,0.0,0.2,0.1
Filippo Distefano,17,2003.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filippo Falco,27,1992.0,30.0,24.0,2014.0,4.0,6.0,10.0,0.0,0.0,2.8,4.5
Filippo Melegoni,22,1999.0,19.5,6.5,684.5,0.5,0.0,0.5,1.0,0.0,0.5,0.8
Filippo Missori,19,2004.0,2.0,1.0,113.0,0.0,0.0,0.0,0.5,0.0,0.05,0.0
Filippo Ranocchia,22,2001.0,9.5,4.5,416.5,0.5,0.0,0.5,1.5,0.0,0.65,0.30000000000000004
Filippo Romagna,25,1997.0,10.0,8.0,761.5,0.0,0.0,0.0,1.5,0.0,0.05,0.1
Filippo Terracciano,20,2003.0,11.333333333333334,5.666666666666667,592.6666666666666,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.16666666666666666,0.7000000000000001
Finley Stevens,18,2003.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Flavio Junior Bianchi,21,2000.0,7.0,4.0,314.0,1.0,0.0,1.0,0.0,0.0,0.8,0.1
Flavio Paoletti,19,2003.0,12.0,1.0,284.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Flavius Daniliuc,22,2001.0,17.0,13.5,1275.0,0.0,1.0,1.0,5.0,0.0,0.3,0.35
Florent Poulolo,22,1997.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florentino Luís,21,1999.0,22.0,9.0,992.0,0.0,1.0,1.0,2.0,0.0,0.1,0.3
Florian Ayé,22,1997.0,22.0,15.0,1380.0,0.0,0.0,0.0,4.0,1.0,2.4,1.1
Florian Lejeune,32,1991.0,23.0,22.6,1995.6,1.4,0.4,1.8,5.8,0.8,1.7799999999999998,0.34
Florian Thauvin,30,1993.0,14.0,7.0,640.0,1.0,0.0,1.0,2.0,0.0,1.75,1.5
Florin Andone,28,1993.0,12.333333333333334,6.0,628.3333333333334,2.6666666666666665,1.0,3.6666666666666665,2.3333333333333335,0.3333333333333333,4.0,0.3666666666666667
Flynn Downes,23,1999.0,21.0,7.0,762.0,0.0,0.0,0.0,2.0,0.0,0.4,0.1
Fodé Ballo-Touré,25,1997.0,10.0,5.0,484.5,0.5,0.0,0.5,1.0,0.0,0.44999999999999996,0.15000000000000002
Folarin Balogun,20,2001.0,2.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Fran Beltrán,24,1999.0,29.5,21.166666666666668,1865.0,1.0,0.3333333333333333,1.3333333333333333,3.0,0.16666666666666666,0.9166666666666669,0.6333333333333334
Fran Delgado,21,2001.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fran Garcia,24,1999.0,27.666666666666668,26.333333333333332,2325.3333333333335,1.0,2.0,3.0,2.0,0.0,0.7666666666666667,1.5666666666666664
Fran Gámez,28,1991.0,23.0,18.0,1768.0,0.0,1.0,1.0,5.0,0.0,0.6,1.1
Fran Manzanara,21,1996.0,4.0,1.0,157.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
Fran Mérida,31,1990.0,16.5,7.5,713.5,0.0,0.5,0.5,5.5,1.0,0.25,0.44999999999999996
Francesco Acerbi,35,1988.0,27.8,26.4,2367.2,1.4,1.2,2.6,4.0,0.4,1.52,1.1800000000000002
Francesco Bardi,30,1992.0,1.5,1.5,133.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francesco Camarda,15,2008.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francesco Caputo,36,1987.0,20.857142857142858,18.285714285714285,1599.7142857142858,7.428571428571429,2.857142857142857,10.285714285714286,0.8571428571428571,0.0,6.742857142857142,2.085714285714286
Francesco Cassata,24,1997.0,11.0,6.666666666666667,564.0,0.6666666666666666,0.0,0.6666666666666666,4.333333333333333,0.6666666666666666,0.39999999999999997,0.26666666666666666
Francesco Di Mariano,25,1996.0,1.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Francesco Di Tacchio,31,1990.0,18.0,14.0,1255.0,0.0,0.0,0.0,3.0,0.0,0.4,0.2
Francesco Forte,28,1993.0,12.0,4.0,422.0,1.0,0.0,1.0,3.0,0.0,1.0,0.6
Francesco Gelli,27,1996.0,5.0,4.0,362.0,0.0,0.0,0.0,2.0,0.0,0.2,0.1
Francesco Magnanelli,36,1984.0,14.666666666666666,8.0,702.6666666666666,0.0,0.0,0.0,2.6666666666666665,0.0,0.13333333333333333,0.20000000000000004
Francesco Rossi,31,1991.0,1.0,0.0,17.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francesco Vicari,24,1994.0,34.0,33.0,2898.0,0.0,0.0,0.0,4.0,0.0,0.5,0.1
Francis Coquelin,31,1991.0,19.833333333333332,12.0,1106.1666666666667,0.6666666666666666,0.3333333333333333,1.0,4.0,0.16666666666666666,0.43333333333333335,0.6666666666666666
Francis Guerrero,22,1996.0,18.0,16.0,1385.5,0.5,0.5,1.0,2.0,0.0,0.35,0.95
Francis Uzoho,18,1998.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Barbosa,24,1999.0,3.0,2.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
