,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
289,Thomas Lemar,FRA,Centrocampista,Atlético Madrid,26,1995,27,17,1252,1,3,4,1,0,0.9,1.9
290,Sergio León,ESP,Delantero,Valladolid,33,1989,29,14,1334,6,1,7,0,1,3.9,1.2
291,Robert Lewandowski,POL,Delantero,Barcelona,33,1988,34,33,2847,23,7,30,4,1,24.3,6.3
292,Samuel Lino,BRA,Delantero,Valencia,22,1999,38,33,2887,6,1,7,4,0,7.8,2.1
293,Pol Lirola,ESP,Defensa,Elche,24,1997,12,7,628,1,0,1,1,0,0.2,0.7
294,Javier Llabrés,ESP,Delantero,Mallorca,19,2002,1,0,17,0,0,0,0,0,0.0,0.0
295,Marcos Llorente,ESP,Centrocampista,Atlético Madrid,27,1995,22,21,1703,1,2,3,5,0,2.1,3.8
296,Giovani Lo Celso,ARG,Centrocampista,Villarreal,26,1996,22,14,1126,2,3,5,3,0,2.5,3.3
297,David López,ESP,Defensa,Girona,32,1989,20,19,1652,3,1,4,5,0,1.5,0.6
298,Diego López,ESP,PO,Rayo Vallecano,40,1981,2,1,96,0,0,0,0,0,0.0,0.0
299,Unai López,ESP,Centrocampista,Rayo Vallecano,26,1995,34,12,1254,1,2,3,2,0,1.3,1.4
300,Anthony Lozano,HON,Delantero,Cádiz,29,1993,28,14,1443,1,1,2,6,0,2.7,0.8
301,Pol Lozano,ESP,Centrocampista,Espanyol,22,1999,4,0,17,0,0,0,1,0,0.0,0.0
302,José Luis Gayà,ESP,Defensa,Valencia,27,1995,31,31,2709,1,3,4,4,0,1.9,5.5
303,José Luis Morales,ESP,Delantero,Villarreal,35,1987,29,11,1211,7,0,7,2,0,6.5,1.6
304,Andriy Lunin,UKR,PO,Real Madrid,23,1999,7,7,630,0,0,0,0,0,0.0,0.0
305,Awer Mabil,AUS,Centrocampista,Cádiz,26,1995,5,1,165,0,0,0,0,0,0.2,0.0
306,Darwin Machís,VEN,Delantero,Valladolid,29,1993,11,7,599,0,1,1,1,0,1.1,2.1
307,Pablo Maffeo,ESP,Defensa,Mallorca,25,1997,35,34,2975,2,4,6,6,1,1.8,3.0
308,Lisandro Magallán,ARG,Defensa,Elche,28,1993,14,11,902,0,0,0,0,1,0.6,0.1
