,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Temporada
143,Hugo Duro,ESP,Delantero,Getafe,17,1999,2,0,19,0,0,0,0,0,0.3,0.0,2017-2018
144,Aritz Elustondo,ESP,Defensa,Real Sociedad,23,1994,19,18,1596,3,2,5,1,0,1.3,0.3,2017-2018
145,Rodrigo Ely,BRA,Defensa,Alavés,23,1993,31,30,2691,1,0,1,11,1,1.2,0.4,2017-2018
146,Youssef En-Nesyri,MAR,Delantero,Málaga,20,1997,25,16,1596,4,0,4,2,1,5.2,0.9,2017-2018
147,Sergi Enrich,ESP,Delantero,Eibar,27,1990,19,14,1330,3,1,4,2,0,3.1,1.7,2017-2018
148,Javier Eraso,ESP,Centrocampista,Leganés,27,1990,34,31,2533,4,3,7,4,0,4.3,3.4,2017-2018
149,Gonzalo Escalante,ARG,Centrocampista,Eibar,24,1993,28,16,1565,1,0,1,3,0,1.3,1.0,2017-2018
150,Sergio Escudero,ESP,Defensa,Sevilla,27,1989,27,26,2332,0,2,2,10,0,1.0,1.2,2017-2018
151,Bernardo Espinosa,COL,Defensa,Girona,28,1989,34,32,2868,0,3,3,7,0,2.7,1.1,2017-2018
152,Oghenekaro Etebo,NGA,Centrocampista,Las Palmas,21,1995,14,14,1215,0,1,1,3,0,0.6,0.4,2017-2018
153,Beñat Etxebarria,ESP,Centrocampista,Athletic Club,30,1987,24,12,1120,0,2,2,3,0,0.5,2.4,2017-2018
154,Xabier Etxeita,ESP,Defensa,Athletic Club,29,1987,5,5,376,1,0,1,2,0,0.4,0.0,2017-2018
155,Edu Expósito,ESP,Centrocampista,La Coruña,20,1996,3,0,96,0,0,0,1,0,0.0,0.0,2017-2018
156,Erik Expósito,ESP,Delantero,Las Palmas,21,1996,10,4,467,1,0,1,0,0,0.8,0.2,2017-2018
157,Imoh Ezekiel,NGA,Centrocampista,Las Palmas,23,1993,10,5,469,0,0,0,0,0,1.1,0.1,2017-2018
158,Fayçal Fajr,MAR,Centrocampista,Getafe,28,1988,31,26,2385,1,4,5,7,0,1.5,2.9,2017-2018
159,Zouhair Feddal,MAR,Defensa,Betis,28,1989,15,14,1257,3,0,3,7,0,0.5,0.1,2017-2018
160,Andrés Fernández,ESP,PO,Villarreal,30,1986,3,3,225,0,0,0,0,0,0.0,0.0,2017-2018
161,Augusto Fernández,ARG,Centrocampista,Atlético Madrid,31,1986,5,1,107,0,0,0,1,0,0.0,0.0,2017-2018
162,Carlos Fernández,ESP,Delantero,Sevilla,21,1996,2,2,137,1,0,1,0,0,0.6,0.1,2017-2018
163,Raúl Fernández,ESP,PO,Levante,29,1988,11,11,990,0,0,0,0,0,0.0,0.0,2017-2018
164,Junior Firpo,ESP,Defensa,Betis,20,1996,14,14,1189,2,2,4,4,0,1.3,1.5,2017-2018
165,Mathieu Flamini,FRA,Centrocampista,Getafe,33,1984,8,6,480,0,0,0,2,1,0.0,0.1,2017-2018
166,Andreu Fontàs,ESP,Defensa,Celta Vigo,27,1989,12,9,885,0,1,1,2,0,0.1,0.3,2017-2018
167,Pablo Fornals,ESP,Centrocampista,Villarreal,21,1996,35,30,2620,3,12,15,4,0,2.8,8.6,2017-2018
168,Javi Fuego,ESP,Centrocampista,Villarreal,33,1984,11,6,537,0,0,0,2,0,0.0,0.0,2017-2018
169,Javi Fuego,ESP,Centrocampista,Espanyol,33,1984,17,17,1341,0,0,0,6,0,0.4,0.0,2017-2018
170,Gabi,ESP,Centrocampista,Atlético Madrid,34,1983,34,25,2349,0,1,1,8,0,0.3,1.6,2017-2018
171,Gabriel,BRA,Centrocampista,Leganés,23,1993,29,28,2377,5,2,7,6,1,5.5,2.0,2017-2018
172,Nicolás Gaitán,ARG,Centrocampista,Atlético Madrid,29,1988,6,1,219,0,0,0,0,0,0.4,0.4,2017-2018
173,Álex Gálvez,ESP,Defensa,Las Palmas,28,1989,18,18,1619,0,0,0,5,1,0.8,0.1,2017-2018
174,Álex Gálvez,ESP,Defensa,Eibar,28,1989,4,4,360,1,0,1,1,0,0.1,0.0,2017-2018
175,Bruno Gama,POR,Delantero,La Coruña,29,1987,6,1,115,0,0,0,1,0,0.0,0.1,2017-2018
176,Kévin Gameiro,FRA,Delantero,Atlético Madrid,30,1987,25,11,1125,7,2,9,0,0,6.1,1.5,2017-2018
177,Ganso,BRA,Centrocampista,Sevilla,27,1989,8,7,519,2,0,2,0,0,1.4,0.4,2017-2018
178,Ezequiel Garay,ARG,Defensa,Valencia,30,1986,24,23,2028,0,0,0,5,0,0.4,0.4,2017-2018
179,Aleix García,ESP,Centrocampista,Girona,20,1997,20,7,852,1,0,1,3,0,0.3,1.3,2017-2018
180,Borja García,ESP,Centrocampista,Girona,26,1990,37,34,2798,2,5,7,2,0,2.6,4.4,2017-2018
181,Dani García,ESP,Centrocampista,Eibar,27,1990,32,32,2775,0,1,1,14,0,0.5,1.1,2017-2018
182,David García,ESP,Defensa,Las Palmas,35,1982,11,9,860,1,0,1,2,0,0.4,0.3,2017-2018
183,Javi García,ESP,Centrocampista,Betis,30,1987,32,27,2410,1,0,1,7,0,1.1,0.6,2017-2018
184,Manu García,ESP,Centrocampista,Alavés,31,1986,30,27,2439,3,0,3,9,0,3.3,1.2,2017-2018
