Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
Stephane Keller,CMR,Defensa,Alavés,18,2001.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephane Omeonga,BEL,Centrocampista,Genoa,22,1996.0,11.0,3.0,427.0,0.0,0.0,0.0,1.5,0.5,0.25,0.3
Stephen Ireland,IRL,Centrocampista,Stoke City,30,1986.0,4.0,1.0,131.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0
Stephen Ward,IRL,Defensa,Burnley,32,1985.0,15.5,15.5,1344.0,0.5,0.5,1.0,1.0,0.0,0.2,0.7
Stephy Mavididi,ENG,Delantero,Juventus,20,1998.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Aldo One,CMR,Defensa,La Coruña,22,1995.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Cook,ENG,Defensa,Bournemouth,31,1991.0,26.5,25.25,2234.5,1.0,0.5,1.5,4.5,0.25,0.9250000000000002,0.75
Steve Mounié,BEN,Delantero,Huddersfield,23,1994.0,29.5,20.0,1816.5,4.5,2.0,6.5,1.5,0.5,5.5,1.85
Steven Alzate,COL,Centrocampista,Brighton,22,1998.0,14.333333333333334,9.0,829.3333333333334,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.7000000000000001,0.49999999999999994
Steven Bergwijn,NED,Delantero,Tottenham,23,1997.0,20.0,8.333333333333334,825.6666666666666,2.3333333333333335,1.6666666666666667,4.0,2.0,0.0,1.8333333333333333,0.9
Steven Davis,NIR,Centrocampista,Southampton,33,1985.0,13.0,9.0,809.5,1.5,0.5,2.0,0.0,0.0,0.45,0.8
Steven Defour,BEL,Centrocampista,Burnley,30,1988.0,15.0,15.0,1222.5,0.5,0.5,1.0,3.0,0.0,0.4,0.6000000000000001
Steven Nzonzi,FRA,Centrocampista,Sevilla,29,1988.0,28.5,27.5,2415.5,1.0,2.0,3.0,4.5,0.0,1.85,1.55
Stipe Perica,CRO,Delantero,Udinese,23,1995.0,14.5,7.5,711.5,0.5,0.0,0.5,4.5,0.0,1.65,0.4
Stiven Plaza,ECU,Delantero,Valladolid,19,1999.0,2.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
