,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
3312,Sidnei,BRA,Defensa,La Coruña,27,1989,21,21,1778,1,1,2,4,0,1.0,0.5
3313,Jaime Sierra Mateos,ESP,Delantero,Leganés,19,1998,2,0,28,0,0,0,0,0,0.0,0.0
3314,David Simón,ESP,Defensa,Las Palmas,28,1988,11,6,721,0,0,0,3,0,0.2,1.0
3315,Dimitris Siovas,GRE,Defensa,Leganés,28,1988,24,24,2057,1,1,2,9,1,1.7,0.7
3316,Pione Sisto,DEN,Delantero,Celta Vigo,22,1995,34,31,2517,5,10,15,2,0,4.7,5.1
3317,Antonio Sivera,ESP,PO,Alavés,20,1996,1,1,62,0,0,0,0,0,0.0,0.0
3318,Rubén Sobrino,ESP,Delantero,Alavés,25,1992,28,15,1466,3,2,5,5,0,4.3,1.2
3319,Carlos Soler,ESP,Centrocampista,Valencia,20,1997,33,27,2365,1,4,5,4,0,4.2,3.7
3320,Kévin Soni,CMR,Centrocampista,Girona,19,1998,2,0,19,0,0,0,0,0,0.0,0.0
3321,David Soria,ESP,PO,Sevilla,24,1993,15,15,1264,0,0,0,1,0,0.0,0.0
3322,Roberto Soriano,ITA,Centrocampista,Villarreal,26,1991,22,11,1139,0,0,0,3,0,1.6,0.7
3323,Cristhian Stuani,URU,Delantero,Girona,30,1986,33,32,2710,21,0,21,8,0,17.6,1.3
3324,Damián Suárez,URU,Defensa,Getafe,29,1988,33,33,2877,1,4,5,14,1,0.6,3.2
3325,Denis Suárez,ESP,Centrocampista,Barcelona,23,1994,18,4,595,2,2,4,1,0,1.9,2.7
3326,Leonardo Suárez,ARG,Centrocampista,Villarreal,21,1996,1,0,29,0,0,0,0,0,0.0,0.0
3327,Luis Suárez,URU,Delantero,Barcelona,30,1987,33,32,2899,25,12,37,9,0,23.4,10.5
3328,Isaac Success,NGA,Centrocampista,Málaga,21,1996,9,7,492,0,1,1,0,0,0.5,2.1
3329,Markel Susaeta,ESP,Delantero,Athletic Club,29,1987,34,26,2264,3,2,5,2,0,2.0,5.3
3330,Tana,ESP,Centrocampista,Las Palmas,26,1990,24,16,1552,1,1,2,2,0,2.0,1.2
3331,Oussama Tannane,MAR,Delantero,Las Palmas,23,1994,10,7,573,0,0,0,1,0,0.6,1.0
3332,Cristian Tello,ESP,Delantero,Betis,25,1991,32,16,1693,4,3,7,2,0,2.2,3.7
3333,Marc-André ter Stegen,GER,PO,Barcelona,25,1992,37,37,3330,0,0,0,0,0,0.0,0.0
3334,David Timor,ESP,Centrocampista,Girona,27,1989,17,10,925,2,0,2,8,0,1.0,0.2
3335,Tito,ESP,Defensa,Leganés,32,1985,9,6,610,0,0,0,0,0,0.0,0.0
3336,Hernán Toledo,ARG,Delantero,Las Palmas,21,1996,15,6,624,0,1,1,2,0,0.2,0.9
3337,Toño,ESP,Defensa,Levante,27,1989,12,12,1080,0,1,1,2,0,0.1,1.0
3338,Daniel Torres,COL,Centrocampista,Alavés,27,1989,18,14,1217,0,0,0,3,0,0.1,0.3
3339,Fernando Torres,ESP,Delantero,Atlético Madrid,33,1984,27,7,982,5,0,5,2,0,5.5,0.4
3340,Ferrán Torres,ESP,Centrocampista,Valencia,17,2000,13,2,311,0,1,1,0,0,0.4,0.8
3341,Miguel Torres,ESP,Defensa,Málaga,31,1986,8,8,673,0,0,0,3,0,0.1,0.1
3342,Pau Torres,ESP,Defensa,Villarreal,20,1997,2,0,52,0,0,0,0,0,0.0,0.0
3343,Alin Toșca,ROU,Defensa,Betis,25,1992,6,5,423,0,0,0,0,0,0.1,0.0
3344,Manu Trigueros,ESP,Centrocampista,Villarreal,25,1991,34,32,2698,3,4,7,10,1,2.8,3.8
3345,Przemysław Tytoń,POL,PO,La Coruña,30,1987,2,1,98,0,0,0,0,0,0.0,0.0
3346,Samuel Umtiti,FRA,Defensa,Barcelona,23,1993,25,24,2189,1,0,1,7,0,0.7,0.1
3347,Enes Ünal,TUR,Delantero,Villarreal,20,1997,23,11,1127,5,2,7,1,0,4.9,1.7
3348,Enes Ünal,TUR,Delantero,Levante,20,1997,7,7,596,1,1,2,0,0,1.6,0.5
3349,Francis Uzoho,NGA,PO,La Coruña,18,1998,2,2,180,0,0,0,0,0,0.0,0.0
3350,Gerard Valentín,ESP,Defensa,La Coruña,24,1993,3,2,158,0,0,0,0,0,0.1,0.0
3351,Borja Valle,ESP,Delantero,La Coruña,25,1992,17,3,486,3,2,5,1,0,3.0,1.2
3352,Jesús Vallejo,ESP,Defensa,Real Madrid,20,1997,7,7,630,0,0,0,0,0,0.0,0.0
3353,Federico Valverde,URU,Centrocampista,La Coruña,19,1998,24,12,1233,0,0,0,0,0,0.8,0.9
3354,Raphaël Varane,FRA,Defensa,Real Madrid,24,1993,27,27,2322,0,1,1,3,0,1.0,0.5
3355,Franco Vázquez,ARG,Centrocampista,Sevilla,28,1989,30,22,1838,4,6,10,5,0,6.2,5.1
3356,Lucas Vázquez,ESP,Centrocampista,Real Madrid,26,1991,33,16,1679,4,7,11,3,0,4.8,5.8
3357,Koke Vegas,ESP,PO,Levante,21,1995,1,1,90,0,0,0,0,1,0.0,0.0
3358,Carlos Vela,MEX,Delantero,Real Sociedad,28,1989,13,2,382,1,0,1,0,0,1.7,0.5
3359,Thomas Vermaelen,BEL,Defensa,Barcelona,31,1985,14,12,1018,0,1,1,3,0,0.3,0.4
