Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Temporada,Valor de mercado
Luke Freeman,ENG,Centrocampista,Sheffield Utd,27,1992.0,11.0,3.0,366.0,0.0,0.0,0.0,2.0,0.0,0.1,0.2,2019-2020,500000.0
Luke Harris,WAL,Centrocampista,Fulham,17,2005.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-2023,1000000.0
Luke Shaw,ENG,Defensa,Manchester Utd,27,1995.0,24.5,22.666666666666668,1986.8333333333333,0.5,2.333333333333333,2.833333333333333,7.333333333333333,0.0,0.7166666666666668,3.216666666666667,2017-2018,42000000.0
Luke Thomas,ENG,Centrocampista,Leicester City,21,2001.0,14.0,11.75,1055.25,0.25,0.5,0.75,1.75,0.0,0.125,0.825,2019-2020,12000000.0
Lukáš Haraslín,SVK,Delantero,Sassuolo,24,1996.0,12.5,3.0,358.5,0.5,0.0,0.5,1.0,0.5,0.85,0.35,2019-2020,3000000.0
Lukáš Vorlický,CZE,Centrocampista,Atalanta,20,2002.0,3.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-2023,100000.0
Lumor Agbenyenu,GHA,Defensa,Mallorca,22,1996.0,23.0,20.0,1805.0,1.0,0.0,1.0,5.0,1.0,0.3,1.6,2019-2020,250000.0
Luuk de Jong,NED,Delantero,Barcelona,30,1990.0,30.0,14.666666666666666,1327.0,5.333333333333333,0.3333333333333333,5.666666666666667,2.0,0.0,6.266666666666666,1.5,2019-2020,4000000.0
Luís Maximiano,POR,PO,Lazio,23,1999.0,18.0,18.0,1570.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,2021-2022,6000000.0
Lyanco,BRA,Defensa,Torino,25,1997.0,13.571428571428571,10.571428571428571,964.4285714285714,0.2857142857142857,0.1428571428571428,0.4285714285714285,3.0,0.1428571428571428,0.3571428571428571,0.2285714285714285,2021-2022,3200000.0
Lys Mousset,FRA,Delantero,Salernitana,25,1996.0,18.8,4.0,532.0,1.8,1.0,2.8,1.0,0.0,1.84,0.9600000000000002,2017-2018,600000.0
Lázaro,BRA,Delantero,Almería,20,2002.0,19.0,7.0,716.0,6.0,0.0,6.0,1.0,0.0,4.0,0.8,2022-2023,10000000.0
Léo Baptistão,BRA,Delantero,Almería,29,1992.0,28.0,23.0,1878.6666666666667,5.0,2.0,7.0,4.666666666666667,0.0,6.7,1.7,2017-2018,1800000.0
Léo Bonatini,BRA,Delantero,Wolves,24,1994.0,7.0,0.0,135.0,0.0,1.0,1.0,0.0,0.0,1.3,0.1,2018-2019,1200000.0
Léo Duarte,BRA,Defensa,Milan,24,1996.0,3.5,2.0,212.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,2019-2020,3300000.0
Léo Sena,BRA,Centrocampista,Spezia,24,1995.0,16.0,8.0,885.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2020-2021,1000000.0
M'Bala Nzola,ANG,Delantero,Spezia,25,1996.0,25.666666666666668,20.0,1872.3333333333333,8.666666666666666,2.0,10.666666666666666,5.0,0.0,7.566666666666667,2.0,2020-2021,10000000.0
M'Baye Niang,SEN,Delantero,Torino,22,1994.0,26.0,18.0,1532.0,4.0,2.0,6.0,5.0,0.0,4.7,1.1,2017-2018,2700000.0
Mads Bech Sørensen,DEN,Defensa,Brentford,23,1999.0,7.5,4.5,428.0,0.0,0.0,0.0,1.5,0.0,0.05,0.2,2021-2022,2500000.0
Mads Bidstrup,DEN,Centrocampista,Brentford,20,2001.0,4.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-2022,7500000.0
Mads Roerslev,DEN,Defensa,Brentford,23,1999.0,20.5,12.0,1174.0,0.5,0.5,1.0,0.5,0.0,0.35,0.8999999999999999,2021-2022,6000000.0
Magnus Warming,DEN,Centrocampista,Torino,21,2000.0,4.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-2022,700000.0
Maksym Koval,UKR,PO,La Coruña,24,1992.0,2.0,2.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2017-2018,600000.0
Malang Sarr,FRA,Defensa,Chelsea,22,1999.0,8.0,6.0,546.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,2021-2022,6000000.0
Malcolm Ebiowei,ENG,Centrocampista,Crystal Palace,18,2003.0,3.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-2023,3000000.0
Malcom,BRA,Delantero,Barcelona,21,1997.0,15.0,6.0,614.0,1.0,2.0,3.0,0.0,0.0,1.4,1.7,2018-2019,30000000.0
Malick Thiaw,GER,Defensa,Milan,20,2001.0,20.0,15.0,1362.0,0.0,0.0,0.0,5.0,0.0,0.8,0.2,2022-2023,30000000.0
Mamadou Coulibaly,SEN,Centrocampista,Salernitana,22,1999.0,7.5,5.5,496.0,1.0,0.0,1.0,0.5,0.0,0.75,0.15,2020-2021,1300000.0
Mamadou Fall,SEN,Defensa,Villarreal,19,2002.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-2023,1600000.0
Mamadou Kanouté,SEN,Delantero,Benevento,23,1993.0,2.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,300000.0
Mamadou Mbaye,SEN,Defensa,Cádiz,24,1998.0,14.0,7.0,760.0,0.0,0.0,0.0,2.0,0.0,0.1,0.2,2022-2023,700000.0
Mamadou Sakho,FRA,Defensa,Crystal Palace,30,1990.0,16.0,14.75,1305.75,0.25,0.5,0.75,1.0,0.25,0.425,0.35,2017-2018,1500000.0
Mamadou Sylla,SEN,Delantero,Rayo Vallecano,27,1994.0,12.5,2.5,323.5,0.0,0.0,0.0,1.5,0.0,0.75,0.2,2021-2022,1000000.0
Mamady Diarra,MLI,Centrocampista,Cádiz,22,2000.0,2.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2022-2023,300000.0
Mame Biram Diouf,SEN,Delantero,Stoke City,29,1987.0,35.0,30.0,2596.0,6.0,2.0,8.0,6.0,0.0,6.5,1.9,2017-2018,400000.0
Mamor Niang,SEN,Centrocampista,Getafe,18,2002.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2020-2021,150000.0
Manolo Gabbiadini,ITA,Delantero,Sampdoria,30,1991.0,22.857142857142858,14.142857142857142,1252.571428571429,5.285714285714286,1.2857142857142858,6.571428571428571,2.7142857142857144,0.0,3.985714285714285,2.0285714285714285,2017-2018,2000000.0
Manolo Portanova,ITA,Centrocampista,Genoa,21,2000.0,7.5,4.5,372.75,0.25,0.0,0.25,1.5,0.0,0.875,0.15,2018-2019,400000.0
Manolo Reina,ESP,PO,Mallorca,36,1985.0,28.5,28.5,2565.0,0.0,0.0,0.0,4.5,0.5,0.0,0.0,2019-2020,200000.0
Manor Solomon,ISR,Delantero,Fulham,23,1999.0,19.0,4.0,572.0,4.0,0.0,4.0,0.0,0.0,1.2,0.4,2022-2023,18000000.0
Manu García,ESP,Centrocampista,Alavés,34,1988.4,28.6,18.8,1787.4,0.8,0.4,1.2,7.6,0.4,1.82,0.74,2017-2018,3000000.0
Manu Morlanes,ESP,Centrocampista,Mallorca,23,1999.0,12.4,6.4,574.2,0.6,0.8,1.4,2.2,0.4,0.2199999999999999,0.6599999999999999,2018-2019,2500000.0
Manu Sánchez,ESP,Defensa,Osasuna,21,2000.0,17.2,12.4,1146.2,0.2,2.0,2.2,2.8,0.0,0.26,1.16,2019-2020,8000000.0
Manu Trigueros,ESP,Centrocampista,Villarreal,30,1991.0,30.0,22.0,1887.5,2.0,3.1666666666666665,5.166666666666667,5.0,0.5,2.55,3.116666666666667,2017-2018,2500000.0
Manu Vallejo,ESP,Centrocampista,Girona,25,1997.0,13.6,3.2,408.4,1.6,0.4,2.0,1.0,0.0,1.4400000000000002,0.4,2019-2020,2400000.0
Manuel Akanji,SUI,Defensa,Manchester City,27,1995.0,29.0,24.0,2287.0,0.0,1.0,1.0,2.0,0.0,1.3,0.4,2022-2023,38000000.0
