Jugador,País,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado
Fernando Forestieri,ITA,Delantero,Udinese,31,1990.0,11.5,1.5,305.0,1.5,1.0,2.5,1.0,0.0,1.3,0.65,800000.0
Fernando Marçal,BRA,Centrocampista,Wolves,32,1989.0,15.5,12.0,1036.0,0.0,0.0,0.0,2.5,0.0,0.25,0.35,1000000.0
Fernando Medrano,ESP,Defensa,Celta Vigo,22,2000.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0
Fernando Niño,ESP,Delantero,Villarreal,21,2000.0,12.0,4.5,395.5,1.5,0.0,1.5,1.0,0.0,2.15,0.15000000000000002,3000000.0
Fernando Pacheco,ESP,PO,Alavés,30,1992.0,27.0,26.714285714285715,2399.714285714286,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.09999999999999999,2500000.0
Ferrán Torres,ESP,Delantero,Manchester City,23,2000.0,20.375,11.625,1056.375,3.25,2.0,5.25,2.25,0.125,3.45,2.3249999999999997,35000000.0
Festy Ebosele,IRL,Defensa,Udinese,21,2002.0,15.0,7.0,626.5,0.0,0.5,0.5,2.5,0.0,0.15000000000000002,1.1,4500000.0
Fikayo Tomori,ENG,Defensa,Chelsea,25,1997.0,18.166666666666668,17.5,1555.0,0.6666666666666666,0.16666666666666666,0.8333333333333334,2.6666666666666665,0.16666666666666666,0.7999999999999999,0.16666666666666666,40000000.0
Filip Benković,CRO,Defensa,Udinese,24,1997.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2800000.0
Filip Bradarić,CRO,Centrocampista,Celta Vigo,27,1992.0,14.0,7.0,706.0,0.0,0.0,0.0,2.0,1.0,0.3,0.1,700000.0
Filip Jagiełło,POL,Centrocampista,Genoa,26,1997.0,6.5,3.0,293.0,0.0,1.0,1.0,0.0,0.0,0.15,0.4,1400000.0
Filip Jørgensen,DEN,PO,Villarreal,21,2002.0,8.0,8.0,720.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5000000.0
Filip Kostić,SRB,Defensa,Juventus,31,1992.0,24.0,21.0,1619.0,1.5,5.5,7.0,2.5,0.0,1.3,5.449999999999999,15000000.0
Filip Krovinović,CRO,Centrocampista,West Brom,24,1995.0,11.0,5.0,546.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,4500000.0
Filip Malbašić,SRB,Delantero,Cádiz,27,1992.0,28.0,8.0,860.0,0.0,1.0,1.0,2.0,0.0,0.8,0.7,800000.0
Filip Đuričić,SRB,Centrocampista,Sampdoria,30,1992.0,26.25,20.5,1638.5,3.75,2.5,6.25,5.25,0.0,3.475,3.35,0.0
Filipe Luís,BRA,Defensa,Atlético Madrid,32,1985.0,23.5,21.5,1844.5,1.5,2.0,3.5,4.0,0.0,0.55,1.55,300000.0
Filippo Bandinelli,ITA,Centrocampista,Empoli,27,1995.0,35.0,26.0,2109.0,2.0,1.5,3.5,10.0,0.0,1.9500000000000002,3.0,2500000.0
Filippo Delli Carri,ITA,Defensa,Salernitana,22,1999.0,5.0,3.0,334.0,0.0,0.0,0.0,1.0,0.0,0.2,0.1,300000.0
Filippo Distefano,ITA,Delantero,Fiorentina,17,2003.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0
Filippo Falco,ITA,Delantero,Lecce,27,1992.0,30.0,24.0,2014.0,4.0,6.0,10.0,0.0,0.0,2.8,4.5,700000.0
Filippo Melegoni,ITA,Centrocampista,Genoa,22,1999.0,19.5,6.5,684.5,0.5,0.0,0.5,1.0,0.0,0.5,0.8,1500000.0
Filippo Missori,ITA,Defensa,Sassuolo,19,2004.0,2.0,1.0,113.0,0.0,0.0,0.0,0.5,0.0,0.05,0.0,1500000.0
Filippo Ranocchia,ITA,Centrocampista,Empoli,22,2001.0,9.5,4.5,416.5,0.5,0.0,0.5,1.5,0.0,0.65,0.30000000000000004,1800000.0
Filippo Romagna,ITA,Defensa,Sassuolo,25,1997.0,10.0,8.0,761.5,0.0,0.0,0.0,1.5,0.0,0.05,0.1,400000.0
Filippo Terracciano,ITA,Defensa,Hellas Verona,20,2003.0,11.333333333333334,5.666666666666667,592.6666666666666,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.16666666666666666,0.7000000000000001,3000000.0
Finley Stevens,WAL,Defensa,Brentford,18,2003.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,300000.0
Flavio Junior Bianchi,ITA,Delantero,Genoa,21,2000.0,7.0,4.0,314.0,1.0,0.0,1.0,0.0,0.0,0.8,0.1,600000.0
Flavio Paoletti,ITA,Centrocampista,Sampdoria,19,2003.0,12.0,1.0,284.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,800000.0
Flavius Daniliuc,AUT,Defensa,Salernitana,22,2001.0,17.0,13.5,1275.0,0.0,1.0,1.0,5.0,0.0,0.3,0.35,8000000.0
Florent Poulolo,MTQ,Defensa,Getafe,22,1997.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
Florentino Luís,POR,Centrocampista,Getafe,21,1999.0,22.0,9.0,992.0,0.0,1.0,1.0,2.0,0.0,0.1,0.3,20000000.0
Florian Ayé,FRA,Delantero,Brescia,22,1997.0,22.0,15.0,1380.0,0.0,0.0,0.0,4.0,1.0,2.4,1.1,1800000.0
Florian Lejeune,FRA,Defensa,Newcastle Utd,32,1991.0,23.0,22.6,1995.6,1.4,0.4,1.8,5.8,0.8,1.7799999999999998,0.34,4000000.0
Florian Thauvin,FRA,Delantero,Udinese,30,1993.0,14.0,7.0,640.0,1.0,0.0,1.0,2.0,0.0,1.75,1.5,3500000.0
Florin Andone,ROU,Delantero,Brighton,28,1993.0,12.333333333333334,6.0,628.3333333333334,2.6666666666666665,1.0,3.6666666666666665,2.3333333333333335,0.3333333333333333,4.0,0.3666666666666667,800000.0
Flynn Downes,ENG,Centrocampista,West Ham,23,1999.0,21.0,7.0,762.0,0.0,0.0,0.0,2.0,0.0,0.4,0.1,9000000.0
Fodé Ballo-Touré,SEN,Defensa,Milan,25,1997.0,10.0,5.0,484.5,0.5,0.0,0.5,1.0,0.0,0.44999999999999996,0.15000000000000002,3500000.0
Folarin Balogun,USA,Delantero,Arsenal,20,2001.0,2.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,30000000.0
Fran Beltrán,ESP,Centrocampista,Celta Vigo,24,1999.0,29.5,21.166666666666668,1865.0,1.0,0.3333333333333333,1.3333333333333333,3.0,0.16666666666666666,0.9166666666666669,0.6333333333333334,10000000.0
Fran Delgado,ESP,Defensa,Betis,21,2001.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350000.0
Fran Garcia,ESP,Defensa,Rayo Vallecano,24,1999.0,27.666666666666668,26.333333333333332,2325.3333333333335,1.0,2.0,3.0,2.0,0.0,0.7666666666666667,1.5666666666666664,15000000.0
Fran Gámez,ESP,Defensa,Mallorca,28,1991.0,23.0,18.0,1768.0,0.0,1.0,1.0,5.0,0.0,0.6,1.1,500000.0
Fran Manzanara,ESP,Defensa,Levante,21,1996.0,4.0,1.0,157.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,400000.0
Fran Mérida,ESP,Centrocampista,Osasuna,31,1990.0,16.5,7.5,713.5,0.0,0.5,0.5,5.5,1.0,0.25,0.44999999999999996,700000.0
Francesco Acerbi,ITA,Defensa,Inter,35,1988.0,27.8,26.4,2367.2,1.4,1.2,2.6,4.0,0.4,1.52,1.1800000000000002,4000000.0
Francesco Bardi,ITA,PO,Bologna,30,1992.0,1.5,1.5,133.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0
Francesco Caputo,ITA,Delantero,Empoli,36,1987.0,20.857142857142858,18.285714285714285,1599.7142857142858,7.428571428571429,2.857142857142857,10.285714285714286,0.8571428571428571,0.0,6.742857142857142,2.085714285714286,1500000.0
Francesco Cassata,ITA,Centrocampista,Genoa,24,1997.0,11.0,6.666666666666667,564.0,0.6666666666666666,0.0,0.6666666666666666,4.333333333333333,0.6666666666666666,0.39999999999999997,0.26666666666666666,700000.0
Francesco Di Mariano,ITA,Delantero,Venezia,25,1996.0,1.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1400000.0
Francesco Di Tacchio,ITA,Centrocampista,Salernitana,31,1990.0,18.0,14.0,1255.0,0.0,0.0,0.0,3.0,0.0,0.4,0.2,350000.0
Francesco Forte,ITA,Delantero,Venezia,28,1993.0,12.0,4.0,422.0,1.0,0.0,1.0,3.0,0.0,1.0,0.6,1300000.0
Francesco Gelli,ITA,Delantero,Frosinone,27,1996.0,5.0,4.0,362.0,0.0,0.0,0.0,2.0,0.0,0.2,0.1,800000.0
Francesco Rossi,ITA,PO,Atalanta,31,1991.0,1.0,0.0,17.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
Francesco Vicari,ITA,Defensa,SPAL,24,1994.0,34.0,33.0,2898.0,0.0,0.0,0.0,4.0,0.0,0.5,0.1,2500000.0
Francis Coquelin,FRA,Centrocampista,Valencia,31,1991.0,19.833333333333332,12.0,1106.1666666666667,0.6666666666666666,0.3333333333333333,1.0,4.0,0.16666666666666666,0.43333333333333335,0.6666666666666666,2500000.0
Francis Guerrero,ESP,Defensa,Betis,22,1996.0,18.0,16.0,1385.5,0.5,0.5,1.0,2.0,0.0,0.35,0.95,50000.0
Francis Uzoho,NGA,PO,La Coruña,18,1998.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0
Francisco Barbosa,ESP,PO,Betis,24,1999.0,3.0,2.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
Francisco Jesús Crespo García,ESP,Delantero,Las Palmas,27,1996.0,8.0,5.0,340.0,0.0,0.0,0.0,1.0,0.0,0.8,0.2,1500000.0
Francisco Montero,ESP,Defensa,Atlético Madrid,19,1999.0,9.0,4.0,404.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1200000.0
Francisco Mwepu,ZAM,Delantero,Cádiz,22,2000.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0
Francisco Perez,ESP,Delantero,Valencia,21,2002.0,10.5,6.0,549.0,0.5,1.5,2.0,2.0,0.0,0.3,1.0,5000000.0
Francisco Portillo,ESP,Centrocampista,Getafe,32,1990.0,24.8,11.4,1194.0,1.0,2.2,3.2,2.8,0.2,1.1800000000000002,1.72,1000000.0
Francisco Reis Ferreira,POR,Defensa,Valencia,23,1997.0,3.0,2.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0
Francisco Sierralta,CHI,Defensa,Watford,24,1997.0,5.0,5.0,427.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1200000.0
Francisco Trincão,POR,Delantero,Wolves,21,1999.0,28.0,9.5,1021.0,2.5,1.5,4.0,0.5,0.0,3.1500000000000004,1.0,12000000.0
Franck Kessié,CIV,Centrocampista,Barcelona,25,1996.0,32.75,25.25,2357.0,6.0,1.5,7.5,4.25,0.0,6.199999999999999,1.975,20000000.0
Franco Carboni,ITA,Defensa,Monza,19,2003.0,3.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1000000.0
Franco Cervi,ARG,Centrocampista,Celta Vigo,29,1994.0,25.0,14.666666666666666,1288.6666666666667,1.3333333333333333,2.3333333333333335,3.6666666666666665,2.6666666666666665,0.3333333333333333,1.8333333333333333,1.4666666666666668,2500000.0
Franco Di Santo,ARG,Delantero,Rayo Vallecano,29,1989.0,6.0,1.0,172.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,350000.0
Franco Russo,ARG,Defensa,Mallorca,27,1994.0,11.0,9.5,804.5,0.5,0.0,0.5,3.5,1.0,0.1,0.1,1000000.0
Franco Vázquez,ARG,Centrocampista,Sevilla,31,1989.0,27.5,15.0,1345.0,2.75,2.5,5.25,4.75,0.25,3.025,2.4,1500000.0
Frank Onyeka,NGA,Centrocampista,Brentford,25,1998.0,17.333333333333332,7.666666666666667,786.3333333333334,0.0,1.0,1.0,2.3333333333333335,0.0,0.8333333333333334,0.7000000000000001,8000000.0
Frank Tsadjout,ITA,Delantero,Cremonese,23,1999.0,20.0,14.0,1051.0,3.0,1.0,4.0,1.0,0.0,2.0,0.5,1200000.0
Fraser Forster,ENG,PO,Tottenham,34,1988.0,13.666666666666666,13.333333333333334,1215.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1500000.0
Fred,BRA,Centrocampista,Manchester Utd,29,1993.0,30.5,21.5,1957.5,1.75,1.5,3.25,6.0,0.0,1.7,2.275,18000000.0
Freddie Veseli,ALB,Defensa,Salernitana,28,1992.0,9.0,8.0,596.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Freddie Woodman,ENG,PO,Newcastle Utd,24,1997.0,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0
Frederic Guilbert,FRA,Defensa,Aston Villa,24,1994.0,25.0,22.0,2041.0,0.0,2.0,2.0,7.0,0.0,0.3,1.5,4500000.0
Frenkie de Jong,NED,Centrocampista,Barcelona,26,1997.0,27.6,25.0,2170.8,2.2,2.6,4.8,4.2,0.4,2.76,3.28,90000000.0
Fyodor Smolov,RUS,Delantero,Celta Vigo,29,1990.0,14.0,10.0,743.0,2.0,0.0,2.0,4.0,0.0,2.0,0.1,0.0
Fábio Silva,POR,Delantero,Wolves,21,2002.0,20.666666666666668,6.666666666666667,735.0,1.3333333333333333,1.0,2.3333333333333335,1.3333333333333333,0.0,2.6999999999999997,0.4666666666666666,15000000.0
Félix Correia,POR,Centrocampista,Juventus,19,2001.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0
Gabi,ESP,Centrocampista,Atlético Madrid,34,1983.0,34.0,25.0,2349.0,0.0,1.0,1.0,8.0,0.0,0.3,1.6,20000000.0
Gabriel,BRA,Centrocampista,Leganés,26,1992.5,31.5,31.0,2687.0,2.5,1.0,3.5,5.0,0.5,2.75,1.0,75000000.0
Gabriel Dos Santos,BRA,Defensa,Arsenal,25,1997.0,26.75,26.0,2326.0,2.5,0.0,2.5,4.5,0.5,2.5,0.275,55000000.0
Gabriel Jesus,BRA,Delantero,Arsenal,26,1997.0,25.0,18.6,1692.6,8.6,5.0,13.6,2.8,0.0,10.62,3.1399999999999997,75000000.0
Gabriel Martinelli,BRA,Delantero,Arsenal,22,2001.0,20.8,15.6,1340.0,5.4,2.8,8.2,1.6,0.2,4.66,3.3800000000000003,80000000.0
Gabriel Mercado,ARG,Defensa,Sevilla,31,1987.0,24.5,22.0,1928.0,1.0,1.0,2.0,9.5,0.0,1.6,1.1,250000.0
Gabriel Osho,ENG,Defensa,Luton Town,25,1998.0,4.0,4.0,326.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,600000.0
Gabriel Paulista,BRA,Defensa,Valencia,33,1990.0,25.0,24.0,2105.714285714286,1.1428571428571428,0.5714285714285714,1.7142857142857142,4.571428571428571,0.42857142857142855,0.857142857142857,0.2,2500000.0
Gabriel Strefezza,BRA,Delantero,Lecce,26,1997.0,26.666666666666668,20.666666666666668,1760.0,3.3333333333333335,2.0,5.333333333333333,5.666666666666667,0.3333333333333333,3.466666666666667,2.3000000000000003,10000000.0
Gabriel Veiga,ESP,Centrocampista,Celta Vigo,21,2002.0,12.5,7.25,634.5,2.75,1.0,3.75,1.5,0.25,1.525,0.65,30000000.0
Gabriele Corbo,ITA,Defensa,Bologna,19,2000.0,2.0,1.0,122.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,600000.0
Gabriele Moncini,ITA,Delantero,Benevento,24,1996.0,7.0,3.0,255.5,0.0,0.0,0.0,0.0,0.0,0.6499999999999999,0.1,900000.0
Gabriele Zappa,ITA,Defensa,Cagliari,23,1999.0,24.0,15.333333333333334,1473.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,3.0,0.3333333333333333,0.7000000000000001,2.0,2000000.0
Gaetano Castrovilli,ITA,Centrocampista,Fiorentina,25,1997.0,26.25,20.75,1778.5,2.75,1.75,4.5,6.25,0.25,2.175,1.7000000000000002,8000000.0
Gaetano Letizia,ITA,Defensa,Benevento,30,1990.0,24.0,18.0,1570.0,3.0,1.0,4.0,2.0,0.0,0.4,1.2,900000.0
Gaetano Oristanio,ITA,Delantero,Cagliari,21,2002.0,12.0,5.0,502.0,1.0,1.0,2.0,1.0,0.0,0.6,0.7,1500000.0
Gaku Shibasaki,JPN,Centrocampista,Getafe,26,1992.0,14.5,8.5,695.5,0.5,0.0,0.5,1.0,0.0,0.55,0.55,1000000.0
Ganso,BRA,Centrocampista,Sevilla,27,1989.0,8.0,7.0,519.0,2.0,0.0,2.0,0.0,0.0,1.4,0.4,700000.0
Gary Medel,CHI,Centrocampista,Bologna,34,1987.0,24.0,19.25,1649.0,0.0,0.75,0.75,6.5,0.5,0.15000000000000002,0.27499999999999997,800000.0
Gastón Brugman,URU,Centrocampista,Parma,27,1992.0,24.5,19.0,1537.0,0.5,1.5,2.0,6.0,0.0,0.75,1.9,2000000.0
Gastón Pereiro,URU,Delantero,Cagliari,26,1995.0,18.0,5.0,531.6666666666666,2.3333333333333335,1.3333333333333333,3.6666666666666665,1.3333333333333333,0.0,1.3999999999999997,1.0666666666666667,1500000.0
Gastón Ramírez,URU,Delantero,Sampdoria,29,1990.0,25.5,14.5,1180.5,3.5,3.0,6.5,5.0,0.0,3.35,2.7,200000.0
Gastón Silva,URU,Defensa,Huesca,26,1994.0,12.0,6.0,600.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1800000.0
Gastón Álvarez,URU,Defensa,Getafe,23,2000.0,17.0,13.5,1247.0,1.5,0.0,1.5,5.0,0.5,0.4,0.30000000000000004,5000000.0
Gavi,ESP,Centrocampista,Barcelona,19,2004.0,27.333333333333332,22.666666666666668,1930.3333333333333,1.6666666666666667,3.3333333333333335,5.0,8.666666666666666,0.3333333333333333,2.566666666666667,2.6666666666666665,90000000.0
Gavin Bazunu,IRL,PO,Southampton,20,2002.0,32.0,32.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,15000000.0
Gaël Kakuta,COD,Centrocampista,Rayo Vallecano,27,1991.0,12.0,9.0,717.0,1.0,0.0,1.0,1.0,0.0,1.1,0.2,1800000.0
Gaëtan Bong,CMR,Defensa,Brighton,31,1988.0,4.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,150000.0
Gedson Fernandes,POR,Centrocampista,Tottenham,20,1999.0,7.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,17000000.0
Gelson Martins,POR,Delantero,Atlético Madrid,23,1995.0,8.0,1.0,229.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,3000000.0
Gennaro Acampora,ITA,Centrocampista,Spezia,26,1994.0,14.0,2.0,441.0,0.0,0.0,0.0,2.0,0.0,0.3,0.0,650000.0
Gennaro Borrelli,ITA,Delantero,Frosinone,23,2000.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0
Gennaro Tutino,ITA,Delantero,Hellas Verona,22,1996.0,6.0,2.0,225.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2000000.0
Geoffrey Kondogbia,CTA,Centrocampista,Valencia,29,1993.0,22.142857142857142,15.0,1372.142857142857,1.0,1.4285714285714286,2.4285714285714284,5.857142857142857,0.42857142857142855,0.9571428571428573,0.8571428571428573,14000000.0
George Baldock,GRE,Defensa,Sheffield Utd,30,1993.0,25.666666666666668,25.333333333333332,2249.0,0.6666666666666666,2.0,2.6666666666666665,5.666666666666667,0.0,0.6,1.7666666666666666,3500000.0
George Hirst,ENG,Centrocampista,Leicester City,20,1999.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1800000.0
George Pușcaș,ROU,Delantero,Genoa,27,1996.0,7.0,1.0,183.0,0.0,0.0,0.0,0.0,0.0,2.1,0.1,2500000.0
Georges-Kévin N'Koudou,CMR,Delantero,Tottenham,24,1995.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300000.0
Georgi Tunjov,EST,Centrocampista,SPAL,18,2001.0,10.0,3.0,284.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,200000.0
Georginio Rutter,FRA,Delantero,Leeds United,20,2002.0,11.0,1.0,273.0,0.0,1.0,1.0,0.0,0.0,0.4,0.3,18000000.0
Georginio Wijnaldum,NED,Centrocampista,Liverpool,31,1990.0,29.666666666666668,26.333333333333332,2215.0,2.6666666666666665,0.0,2.6666666666666665,0.3333333333333333,0.0,2.466666666666667,0.9666666666666668,6000000.0
Gerard Deulofeu,ESP,Delantero,Watford,28,1994.0,20.2,16.6,1405.2,4.2,3.6,7.8,2.8,0.0,4.18,3.66,10000000.0
Gerard Gumbau,ESP,Centrocampista,Leganés,28,1994.0,24.0,18.6,1664.6,0.6,2.6,3.2,7.8,0.4,1.26,2.2600000000000002,3500000.0
Gerard Moreno,ESP,Delantero,Espanyol,31,1992.0,27.285714285714285,23.571428571428573,2065.714285714286,12.714285714285714,3.142857142857143,15.857142857142858,3.0,0.0,11.77142857142857,4.685714285714285,15000000.0
Gerard Valentín,ESP,Defensa,La Coruña,24,1993.0,3.0,2.0,158.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,800000.0
Gerard Yepes,ESP,Centrocampista,Sampdoria,19,2002.0,4.5,1.0,109.5,0.0,0.0,0.0,1.0,0.0,0.05,0.0,500000.0
Germán Pezzella,ARG,Defensa,Betis,32,1991.0,26.4,25.8,2242.2,1.0,0.2,1.2,5.8,0.8,1.48,0.32,5000000.0
Germán Sánchez,ESP,Defensa,Granada,34,1986.0,31.333333333333332,26.666666666666668,2410.0,2.3333333333333335,0.6666666666666666,3.0,11.333333333333334,1.0,1.8333333333333333,0.26666666666666666,200000.0
Germán Valera,ESP,Delantero,Atlético Madrid,19,2002.0,2.0,0.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,2000000.0
Gervinho,CIV,Delantero,Parma,33,1987.0,29.0,26.0,2145.5,6.0,2.5,8.5,1.5,0.0,6.45,2.45,300000.0
Gerónimo Rulli,ARG,PO,Real Sociedad,30,1992.0,20.2,20.2,1818.0,0.0,0.0,0.0,1.8,0.2,0.0,0.0,10000000.0
Giacomo Bonaventura,ITA,Centrocampista,Fiorentina,34,1989.0,27.4,20.2,1751.2,4.0,2.8,6.8,4.6,0.4,3.44,2.42,2500000.0
Giacomo Manzari,ITA,Delantero,Sassuolo,18,2000.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0
Giacomo Quagliata,ITA,Defensa,Cremonese,22,2000.0,20.0,6.0,699.0,0.0,1.0,1.0,0.0,1.0,0.5,1.0,1700000.0
Giacomo Raspadori,ITA,Delantero,Napoli,23,2000.0,18.833333333333332,10.833333333333334,993.8333333333334,3.8333333333333335,1.3333333333333333,5.166666666666667,1.8333333333333333,0.16666666666666666,3.25,1.5333333333333332,35000000.0
Giacomo Ricci,ITA,Defensa,Parma,23,1996.0,3.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0
Giacomo Satalino,ITA,PO,Sassuolo,22,1999.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0
Giacomo Vrioni,ALB,Delantero,Juventus,21,1998.0,1.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.2,0.05,3000000.0
Gian Crespi,ITA,PO,Crotone,19,2001.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gian Marco Ferrari,ITA,Defensa,Sassuolo,31,1992.0,26.8,23.6,2148.2,0.4,1.0,1.4,4.8,0.2,1.3199999999999998,0.64,2000000.0
Giangiacomo Magnani,ITA,Defensa,Hellas Verona,28,1995.0,12.714285714285714,8.0,735.8571428571429,0.14285714285714285,0.14285714285714285,0.2857142857142857,3.5714285714285716,0.2857142857142857,0.5285714285714286,0.05714285714285715,3000000.0
Gianluca Busio,USA,Centrocampista,Venezia,19,2002.0,29.0,23.0,1950.0,1.0,1.0,2.0,8.0,0.0,0.9,1.4,3700000.0
Gianluca Caprari,ITA,Centrocampista,Monza,30,1993.0,22.666666666666668,17.333333333333332,1426.0,4.5,2.5,7.0,3.3333333333333335,0.3333333333333333,3.3333333333333326,2.35,8000000.0
Gianluca Frabotta,ITA,Defensa,Hellas Verona,22,1999.0,6.0,3.0,266.3333333333333,0.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.0,0.06666666666666667,0.3,1400000.0
Gianluca Gaetano,ITA,Centrocampista,Napoli,23,2000.0,4.333333333333333,0.0,41.666666666666664,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.46666666666666673,0.10000000000000002,4500000.0
Gianluca Lapadula,PER,Delantero,Cagliari,33,1990.0,21.333333333333332,16.333333333333332,1468.6666666666667,6.333333333333333,0.6666666666666666,7.0,3.3333333333333335,0.3333333333333333,6.533333333333334,1.7333333333333334,2700000.0
Gianluca Mancini,ITA,Defensa,Roma,27,1996.0,29.2,28.6,2485.6,1.6,0.8,2.4,10.6,0.4,2.2800000000000002,0.74,18000000.0
Gianluca Pegolo,ITA,PO,Sassuolo,41,1981.0,2.25,2.25,202.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
Gianluca Scamacca,ITA,Delantero,West Ham,24,1999.0,22.0,13.5,1233.0,8.0,0.75,8.75,2.75,0.0,6.025,1.475,25000000.0
Gianluigi Donnarumma,ITA,PO,Milan,21,1999.0,36.5,36.5,3265.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,45000000.0
Gianmarco Cangiano,ITA,Delantero,Bologna,17,2001.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650000.0
Giannelli Imbula,COD,Centrocampista,Rayo Vallecano,26,1992.0,12.5,11.0,931.0,0.5,0.5,1.0,3.5,0.0,0.45,0.45,150000.0
Gil Bastião Dias,POR,Centrocampista,Granada,22,1996.0,12.0,3.0,356.0,0.0,1.0,1.0,1.0,0.0,0.3,0.3,1500000.0
Gino Infantino,ARG,Centrocampista,Fiorentina,20,2003.0,5.0,0.0,82.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3000000.0
Giorgi Kochorashvili,GEO,Centrocampista,Levante,21,1999.0,2.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0
Giorgi Kvernadze,GEO,Delantero,Frosinone,20,2003.0,2.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0
Giorgi Mamardashvili,GEO,PO,Valencia,23,2000.0,23.333333333333332,23.333333333333332,2100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30000000.0
Giorgio Altare,ITA,Defensa,Cagliari,22,1998.0,19.0,17.0,1466.0,1.0,0.0,1.0,5.0,0.0,1.0,0.6,1500000.0
Giorgio Chiellini,ITA,Defensa,Juventus,36,1984.0,14.0,11.666666666666666,980.6666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.0,0.0,0.5,0.3,1000000.0
Giorgio Cittadini,ITA,Defensa,Atalanta,19,2002.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0
