Jugador,País,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado
Kacper Urbanski,POL,Centrocampista,Bologna,19,2004.0,1.6666666666666667,0.0,31.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0
Kai Havertz,GER,Centrocampista,Arsenal,24,1999.0,26.0,19.5,1656.0,5.25,2.0,7.25,3.5,0.0,7.074999999999999,2.025,60000000.0
Kaide Gordon,ENG,Delantero,Liverpool,16,2004.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1500000.0
Kaiky,BRA,Defensa,Almería,19,2004.0,9.5,5.5,503.5,0.5,0.0,0.5,3.0,0.0,0.15000000000000002,0.0,3000000.0
Kaio Jorge,BRA,Delantero,Frosinone,21,2002.0,6.5,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.35,0.05,3000000.0
Kalidou Koulibaly,SEN,Defensa,Chelsea,31,1991.0,25.25,24.0,2129.75,1.25,0.5,1.75,7.25,1.0,1.0,0.6000000000000001,12000000.0
Kalvin Phillips,ENG,Centrocampista,Manchester City,27,1995.0,16.25,12.0,1104.25,0.25,0.75,1.0,3.75,0.0,0.4,1.075,28000000.0
Kamaldeen Sulemana,GHA,Delantero,Southampton,20,2002.0,18.0,10.0,966.0,2.0,1.0,3.0,1.0,0.0,1.7,1.3,18000000.0
Kamil Glik,POL,Defensa,Benevento,32,1988.0,36.0,36.0,3206.0,2.0,1.0,3.0,10.0,1.0,3.4,0.7,500000.0
Kamil Grosicki,POL,Centrocampista,West Brom,32,1988.0,3.0,2.0,148.0,0.0,1.0,1.0,0.0,0.0,0.1,0.3,500000.0
Kaoru Mitoma,JPN,Delantero,Brighton,26,1997.0,22.5,17.0,1649.0,5.0,4.0,9.0,1.5,0.0,5.4,4.05,50000000.0
Karim Benzema,FRA,Delantero,Real Madrid,34,1987.0,32.5,30.666666666666668,2628.1666666666665,19.333333333333332,8.0,27.333333333333332,0.6666666666666666,0.0,19.083333333333332,6.749999999999999,15000000.0
Karim Rekik,NED,Defensa,Sevilla,27,1994.0,15.0,10.666666666666666,977.3333333333334,0.3333333333333333,1.0,1.3333333333333333,2.0,0.0,0.3666666666666667,0.23333333333333336,4000000.0
Karim Zedadka,FRA,Delantero,Napoli,22,2000.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
Karl Darlow,ENG,PO,Newcastle Utd,30,1990.0,16.5,16.5,1485.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1000000.0
Karl Toko Ekambi,CMR,Delantero,Villarreal,26,1992.0,26.0,17.5,1568.5,8.0,1.5,9.5,2.5,0.0,9.3,1.8,5000000.0
Karlan Grant,ENG,Delantero,West Brom,22,1997.0,21.0,14.0,1127.0,1.0,0.0,1.0,1.0,0.0,1.8,0.2,4500000.0
Karlo Letica,CRO,PO,Sampdoria,23,1997.0,5.5,5.5,495.0,0.0,0.0,0.0,0.5,0.0,0.0,0.05,700000.0
Karol Linetty,POL,Centrocampista,Torino,28,1995.0,22.6,16.2,1438.6,1.2,0.6,1.8,4.6,0.0,0.9199999999999999,1.1800000000000002,3500000.0
Kasey McAteer,ENG,Delantero,Leicester City,19,2001.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0
Kasper Dolberg,DEN,Delantero,Sevilla,24,1997.0,4.0,2.0,197.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4,7000000.0
Kasper Schmeichel,DEN,PO,Leicester City,34,1986.0,37.666666666666664,37.666666666666664,3390.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.16666666666666666,1500000.0
Kastriot Dermaku,ALB,Defensa,Lecce,30,1992.0,6.333333333333333,3.6666666666666665,386.6666666666667,0.0,0.0,0.0,0.6666666666666666,0.0,0.2333333333333333,0.03333333333333333,400000.0
Kayky Chagas,BRA,Delantero,Manchester City,18,2003.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0
Kayne Ramsey,ENG,Defensa,Southampton,19,2000.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,200000.0
Keane Lewis-Potter,ENG,Delantero,Brentford,22,2001.0,8.5,2.5,272.0,0.0,0.5,0.5,0.0,0.0,0.75,0.65,12000000.0
Keidi Bare,ALB,Centrocampista,Espanyol,24,1997.0,21.5,11.0,992.0,0.5,1.0,1.5,4.5,0.0,0.44999999999999996,0.35,3000000.0
Keinan Davis,ENG,Delantero,Aston Villa,23,1998.0,11.333333333333334,1.6666666666666667,279.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,1.4000000000000001,0.26666666666666666,3000000.0
Keita Baldé,SEN,Delantero,Cagliari,26,1995.0,25.5,13.0,1213.0,5.0,1.0,6.0,3.0,0.5,4.6,1.5,2000000.0
Keko,ESP,Centrocampista,Málaga,26,1991.0,23.5,17.5,1371.0,1.0,1.5,2.5,2.5,0.0,2.35,1.7000000000000002,200000.0
Kelechi Iheanacho,NGA,Delantero,Leicester City,25,1996.0,24.75,13.0,1202.5,6.5,3.75,10.25,0.75,0.0,6.225,3.1999999999999997,18000000.0
Kelechi Nwakali,NGA,Centrocampista,Huesca,22,1998.0,5.0,1.0,141.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,800000.0
Kelland Watts,ENG,Defensa,Newcastle Utd,19,1999.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0
Kelvin Amian,FRA,Defensa,Spezia,24,1998.0,31.0,28.5,2509.0,0.5,1.0,1.5,8.0,1.5,2.6500000000000004,1.7999999999999998,2800000.0
Kelvin Yeboah,ITA,Delantero,Genoa,21,2000.0,17.0,9.0,850.0,0.0,1.0,1.0,2.0,0.0,1.1,1.4,3500000.0
Ken Sema,SWE,Centrocampista,Watford,27,1993.0,25.0,18.5,1652.5,1.0,0.5,1.5,3.5,0.0,0.35,2.6,2500000.0
Kenan Kodro,BIH,Delantero,Athletic Club,26,1993.0,10.0,2.0,257.0,0.75,0.0,0.75,0.5,0.0,0.7,0.07500000000000001,1200000.0
Kenan Yıldız,TUR,Delantero,Juventus,18,2005.0,5.0,0.0,41.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1000000.0
Kenedy,BRA,Defensa,Chelsea,26,1996.0,15.0,6.0,597.5,1.25,2.0,3.25,2.0,0.0,0.85,1.4249999999999998,1500000.0
Kenneth Omeruo,NGA,Defensa,Leganés,25,1993.0,25.5,24.5,2153.5,0.5,0.0,0.5,6.0,0.0,0.25,0.3,2000000.0
Kenny McLean,SCO,Centrocampista,Norwich City,29,1992.0,34.0,30.5,2837.0,1.0,0.5,1.5,4.0,0.0,1.6,1.7000000000000002,1200000.0
Kenny Tete,NED,Defensa,Fulham,28,1995.0,19.333333333333332,17.333333333333332,1492.3333333333333,0.3333333333333333,2.0,2.3333333333333335,4.333333333333333,0.0,0.39999999999999997,1.1333333333333333,15000000.0
Kepa Arrizabalaga,ESP,PO,Chelsea,29,1994.0,18.833333333333332,18.666666666666668,1680.0,0.0,0.0,0.0,1.0,0.0,0.0,0.049999999999999996,18000000.0
Kevin Agudelo,COL,Centrocampista,Spezia,23,1998.0,19.8,11.4,1090.8,1.0,1.0,2.0,3.2,0.4,1.4,1.3800000000000001,4000000.0
Kevin Bonifazi,ITA,Defensa,Bologna,27,1996.0,13.833333333333334,11.333333333333334,1018.1666666666666,0.3333333333333333,0.0,0.3333333333333333,2.0,0.3333333333333333,0.6333333333333333,0.19999999999999998,2800000.0
Kevin Danso,AUT,Defensa,Southampton,20,1998.0,6.0,3.0,277.0,0.0,1.0,1.0,2.0,1.0,0.1,0.2,22000000.0
Kevin De Bruyne,BEL,Centrocampista,Manchester City,32,1991.0,24.6,21.8,1885.6,8.2,11.2,19.4,1.4,0.0,5.58,10.459999999999999,70000000.0
Kevin Lasagna,ITA,Delantero,Hellas Verona,29,1992.0,25.2,16.4,1539.0,3.4,1.6,5.0,1.0,0.0,6.1,1.8399999999999999,1600000.0
Kevin Long,IRL,Defensa,Burnley,30,1990.0,7.333333333333333,5.666666666666667,537.0,0.0,0.0,0.0,1.0,0.0,0.26666666666666666,0.0,500000.0
Kevin Mbabu,SUI,Defensa,Fulham,27,1995.0,6.0,1.0,144.0,0.0,1.0,1.0,1.0,0.0,0.0,0.4,3500000.0
Kevin Miranda,ITA,Defensa,Sassuolo,20,2003.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0
Kevin Rüegg,SUI,Defensa,Hellas Verona,21,1998.0,7.0,1.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0
Kevin Schade,GER,Delantero,Brentford,22,2001.0,11.5,5.0,494.5,0.5,0.5,1.0,1.0,0.0,1.4,0.75,25000000.0
