,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
721,Simone Edera,ITA,Centrocampista,Torino,21,1997,3,1,77,0,0,0,0,0,0.1,0.1
722,Simone Edera,ITA,Delantero,Bologna,21,1997,4,3,196,0,0,0,1,0,0.7,0.2
723,Albin Ekdal,SWE,Centrocampista,Sampdoria,29,1989,32,30,2646,0,0,0,6,0,0.9,1.0
724,Valentin Eysseric,FRA,Delantero,Fiorentina,26,1992,8,4,358,0,1,1,1,0,0.2,1.1
725,Diego Falcinelli,ITA,Delantero,Bologna,27,1991,16,8,703,0,1,1,0,0,1.3,0.5
726,Iago Falque,ESP,Delantero,Torino,28,1990,26,19,1612,6,4,10,1,0,5.3,3.4
727,Paolo Faragò,ITA,Centrocampista,Cagliari,25,1993,26,17,1703,1,1,2,8,1,2.0,2.0
728,Mohamed Fares,ALG,Defensa,SPAL,22,1996,35,32,2949,3,0,3,12,0,2.9,2.6
729,Diego Farias,BRA,Delantero,Empoli,28,1990,16,16,1193,4,4,8,1,0,4.9,3.2
730,Diego Farias,BRA,Delantero,Cagliari,28,1990,16,7,700,3,0,3,3,0,2.6,0.3
731,Andrea Favilli,ITA,Delantero,Genoa,21,1997,6,0,170,0,2,2,0,0,0.3,0.7
732,Federico Fazio,ARG,Defensa,Roma,31,1987,34,31,2806,5,0,5,6,0,2.5,0.3
733,Luiz Felipe,ITA,Defensa,Lazio,21,1997,17,15,1289,1,1,2,4,0,0.6,0.4
734,Edimilson Fernandes,SUI,Centrocampista,Fiorentina,22,1996,29,23,1970,2,0,2,9,1,1.2,1.3
735,Alex Ferrari,ITA,Defensa,Sampdoria,24,1994,6,6,540,0,0,0,2,0,0.0,0.0
736,Sergio Floccari,ITA,Delantero,SPAL,36,1981,20,11,976,3,1,4,3,0,2.2,0.3
737,Alessandro Florenzi,ITA,Defensa,Roma,27,1991,29,24,2180,3,2,5,5,1,2.2,4.4
738,Seko Fofana,CIV,Centrocampista,Udinese,23,1995,31,31,2639,2,4,6,5,0,3.1,3.3
739,Pierluigi Frattali,ITA,PO,Parma,32,1985,1,1,90,0,0,0,0,0,0.0,0.0
740,Remo Freuler,SUI,Centrocampista,Atalanta,26,1992,35,35,3022,2,6,8,4,0,3.2,3.9
741,Nicolas Frey,FRA,Defensa,Chievo,34,1984,5,3,227,0,0,0,0,0,0.0,0.0
742,Manolo Gabbiadini,ITA,Delantero,Sampdoria,26,1991,18,8,812,4,2,6,5,0,2.0,1.2
743,Gianluca Gaetano,ITA,Centrocampista,Napoli,18,2000,2,0,8,0,0,0,0,0,0.0,0.1
744,Roberto Gagliardini,ITA,Centrocampista,Inter,24,1994,19,13,1087,5,0,5,4,0,2.9,0.9
745,Riccardo Gagliolo,SWE,Defensa,Parma,28,1990,34,34,3045,0,2,2,7,0,1.4,2.4
746,Marcello Gazzola,ITA,Defensa,Parma,33,1985,20,9,921,1,0,1,3,0,1.0,0.5
747,Gerson,BRA,Centrocampista,Fiorentina,21,1997,36,27,2426,3,3,6,9,0,2.8,2.7
748,Gervinho,CIV,Delantero,Parma,31,1987,30,27,2304,11,2,13,3,0,7.4,3.7
749,Paolo Ghiglione,ITA,Defensa,Frosinone,21,1997,9,6,514,1,0,1,4,0,0.5,0.6
750,Faouzi Ghoulam,ALG,Defensa,Napoli,27,1991,16,12,1154,1,3,4,2,0,1.0,3.3
751,Emanuele Giaccherini,ITA,Centrocampista,Chievo,33,1985,26,22,2009,3,1,4,8,0,3.0,3.6
752,Massimo Gobbi,ITA,Defensa,Parma,37,1980,16,13,1183,0,1,1,3,0,0.2,0.4
753,Edoardo Goldaniga,ITA,Defensa,Frosinone,24,1993,29,29,2610,1,1,2,6,0,2.0,0.8
754,Pierluigi Gollini,ITA,PO,Atalanta,23,1995,20,20,1799,0,0,0,1,0,0.0,0.0
755,Papu Gómez,ARG,Centrocampista,Atalanta,30,1988,35,34,2899,7,11,18,5,0,8.4,12.8
756,Alfred Gomis,SEN,PO,SPAL,24,1993,20,19,1724,0,0,0,0,0,0.0,0.0
757,Giancarlo González,CRC,Defensa,Bologna,30,1988,12,8,746,0,1,1,2,0,0.2,0.7
758,Mirko Gori,ITA,Centrocampista,Frosinone,25,1993,10,2,329,0,0,0,3,0,0.4,0.1
759,Robin Gosens,GER,Defensa,Atalanta,24,1994,28,23,1942,3,2,5,2,0,2.1,2.7
760,Paolo Gozzi Iweru,ITA,Defensa,Juventus,17,2001,1,1,90,0,0,0,0,0,0.0,0.0
761,Alberto Grassi,ITA,Centrocampista,Parma,23,1995,7,5,462,0,0,0,0,0,0.9,0.1
762,Sergej Grubac,MNE,Delantero,Chievo,18,2000,3,2,157,0,0,0,1,0,0.1,0.1
763,Guido Guerrieri,ITA,PO,Lazio,22,1996,1,1,90,0,0,0,0,0,0.0,0.0
764,Koray Günter,GER,Defensa,Genoa,23,1994,14,8,835,0,0,0,1,0,0.4,0.5
765,Emil Hallfreðsson,ISL,Centrocampista,Udinese,34,1984,3,1,137,1,0,1,0,0,0.0,0.0
766,Emil Hallfreðsson,ISL,Centrocampista,Frosinone,34,1984,6,5,392,0,0,0,2,0,0.0,0.1
767,Marek Hamšík,SVK,Centrocampista,Napoli,31,1987,13,12,916,0,0,0,1,0,0.5,0.5
768,Dávid Hancko,SVK,Defensa,Fiorentina,20,1997,5,3,282,0,0,0,0,0,0.2,0.1
769,Samir Handanović,SVN,PO,Inter,34,1984,38,38,3420,0,0,0,0,0,0.0,0.0
770,Hans Hateboer,NED,Defensa,Atalanta,24,1994,35,33,2973,5,5,10,5,0,5.2,5.0
771,Filip Helander,SWE,Defensa,Bologna,25,1993,20,19,1713,0,0,0,6,0,0.7,0.2
772,Dalbert Henrique,BRA,Defensa,Inter,24,1993,11,9,778,0,1,1,2,0,0.2,1.1
773,Përparim Hetemaj,FIN,Centrocampista,Chievo,31,1986,30,25,2156,2,0,2,9,0,0.5,1.1
774,Gonzalo Higuaín,ARG,Delantero,Milan,30,1987,15,15,1277,6,1,7,3,1,6.6,1.7
775,Oscar Hiljemark,SWE,Centrocampista,Genoa,26,1992,17,15,1196,1,0,1,0,0,1.0,0.6
776,Vitor Hugo,BRA,Defensa,Fiorentina,27,1991,30,27,2470,0,2,2,7,1,1.2,1.4
777,Elseid Hysaj,ALB,Defensa,Napoli,24,1994,27,24,2107,0,2,2,4,0,0.6,0.6
778,Simone Iacoponi,ITA,Defensa,Parma,31,1987,38,38,3346,0,0,0,4,0,0.7,0.7
779,Roger Ibanez,BRA,Defensa,Atalanta,19,1998,1,0,2,0,0,0,0,0,0.0,0.0
780,Mauro Icardi,ARG,Delantero,Inter,25,1993,29,24,2267,11,4,15,0,0,15.2,3.3
781,Salvador Ichazo,URU,PO,Torino,26,1992,3,2,251,0,0,0,0,0,0.0,0.0
782,Josip Iličić,SVN,Delantero,Atalanta,30,1988,31,23,2145,12,7,19,5,1,10.6,7.5
783,Ciro Immobile,ITA,Delantero,Lazio,28,1990,36,31,2859,15,6,21,6,0,15.9,6.0
784,Svante Ingelsson,SWE,Defensa,Udinese,20,1998,3,1,97,0,0,0,0,0,0.1,0.0
785,Roberto Inglese,ITA,Delantero,Parma,26,1991,25,23,1965,9,0,9,3,0,8.2,1.5
786,Lorenzo Insigne,ITA,Delantero,Napoli,27,1991,28,24,2073,10,6,16,6,1,9.9,4.7
787,Artur Ioniță,MDA,Centrocampista,Cagliari,27,1990,37,34,2968,3,2,5,4,1,3.7,1.3
788,Armando Izzo,ITA,Defensa,Torino,26,1992,37,37,3271,4,1,5,6,0,2.9,1.1
789,Jandrei,BRA,PO,Genoa,25,1993,1,1,90,0,0,0,0,0,0.0,0.0
790,Marko Janković,MNE,Defensa,SPAL,23,1995,4,0,54,0,0,0,1,0,0.1,0.1
791,Jakub Jankto,CZE,Centrocampista,Sampdoria,22,1996,25,7,963,0,0,0,2,0,1.7,0.8
792,Paweł Jaroszyński,POL,Defensa,Chievo,23,1994,19,15,1348,0,0,0,2,0,0.2,1.6
793,Juan Jesus,BRA,Defensa,Roma,27,1991,20,15,1403,1,0,1,4,0,0.7,0.0
794,Bruno Jordão,POR,Centrocampista,Lazio,19,1998,3,1,88,0,0,0,0,0,0.0,0.0
795,Hamed Junior Traorè,CIV,Centrocampista,Empoli,18,2000,32,26,2259,2,2,4,4,0,2.9,2.9
796,Musa Juwara,GAM,Delantero,Chievo,16,2001,1,0,12,0,0,0,0,0,0.0,0.0
797,Yann Karamoh,FRA,Delantero,Inter,20,1998,1,0,5,0,0,0,0,0,0.0,0.0
798,Ibrahim Karamoko,FRA,Centrocampista,Chievo,17,2001,2,0,65,0,0,0,0,0,0.1,0.0
799,Orestis Karnezis,GRE,PO,Napoli,33,1985,9,9,810,0,0,0,0,0,0.0,0.0
800,Rick Karsdorp,NED,Defensa,Roma,23,1995,11,7,593,0,1,1,1,0,0.0,0.3
801,Grigoris Kastanos,CYP,Centrocampista,Juventus,20,1998,1,1,60,0,0,0,0,0,0.0,0.0
802,Moise Kean,ITA,Delantero,Juventus,18,2000,13,5,541,6,0,6,2,0,3.6,0.3
803,Franck Kessié,CIV,Centrocampista,Milan,21,1996,34,34,3018,7,2,9,8,0,7.5,2.3
804,Sami Khedira,GER,Centrocampista,Juventus,31,1987,10,8,706,2,1,3,0,0,3.0,1.1
805,Sofian Kiyine,MAR,Centrocampista,Chievo,20,1997,23,9,816,0,1,1,7,0,0.8,0.9
806,Ragnar Klavan,EST,Defensa,Cagliari,32,1985,15,15,1230,0,0,0,2,0,0.1,0.5
807,Justin Kluivert,NED,Delantero,Roma,19,1999,29,14,1341,1,6,7,2,0,1.3,3.0
808,Aleksandar Kolarov,SRB,Defensa,Roma,32,1985,33,32,2906,8,2,10,7,1,5.0,6.6
809,Christian Kouamé,CIV,Delantero,Genoa,20,1997,38,33,3066,4,5,9,4,0,8.0,5.3
810,Kalidou Koulibaly,SEN,Defensa,Napoli,27,1991,35,35,3132,2,2,4,10,1,2.4,0.3
811,Dawid Kownacki,POL,Delantero,Sampdoria,21,1997,13,0,168,1,1,2,0,0,1.9,0.6
812,Luka Krajnc,SVN,Defensa,Frosinone,23,1994,9,9,788,0,0,0,3,0,0.2,0.1
813,Ladislav Krejčí,CZE,Defensa,Bologna,26,1992,18,11,1065,0,3,3,2,0,0.5,2.3
814,Rade Krunić,BIH,Centrocampista,Empoli,24,1993,33,33,2772,5,7,12,7,1,5.1,6.2
815,Juraj Kucka,SVK,Centrocampista,Parma,31,1987,18,17,1535,4,3,7,5,1,2.5,1.8
816,Dejan Kulusevski,SWE,Centrocampista,Atalanta,18,2000,3,0,105,0,0,0,0,0,0.1,0.0
817,Jasmin Kurtić,SVN,Centrocampista,SPAL,29,1989,30,29,2557,6,5,11,9,0,3.9,3.1
818,Antonino La Gumina,ITA,Delantero,Empoli,22,1996,22,12,1090,2,2,4,1,0,4.3,0.7
819,Alban Lafont,FRA,PO,Fiorentina,19,1999,34,34,3015,0,0,0,2,0,0.0,0.4
820,Abdou Lahat Diakhate,SEN,Centrocampista,Parma,19,1998,1,0,1,0,0,0,0,0,0.0,0.0
821,Gianluca Lapadula,PER,Delantero,Genoa,28,1990,8,4,404,1,0,1,1,0,2.5,0.2
822,Danilo Larangeira,BRA,Defensa,Bologna,34,1984,35,35,3077,1,0,1,4,0,0.8,0.8
823,Kevin Lasagna,ITA,Delantero,Udinese,25,1992,36,26,2453,6,2,8,2,0,8.5,2.0
824,Vincent Laurini,FRA,Defensa,Fiorentina,29,1989,15,10,920,0,0,0,4,0,0.1,0.5
825,Diego Laxalt,URU,Defensa,Milan,25,1993,20,6,651,0,0,0,2,0,1.2,0.7
826,Darko Lazović,SRB,Defensa,Genoa,27,1990,33,30,2542,3,4,7,2,0,2.2,3.9
827,Manuel Lazzari,ITA,Defensa,SPAL,24,1993,33,33,2835,0,8,8,7,0,1.4,5.9
828,Lucas Leiva,BRA,Centrocampista,Lazio,31,1987,27,22,1987,0,2,2,7,0,0.6,2.0
829,Mauricio Lemos,URU,Defensa,Sassuolo,22,1995,3,3,179,0,0,0,0,0,0.0,0.0
830,Lukas Lerager,DEN,Centrocampista,Genoa,25,1993,14,13,1122,1,0,1,4,0,1.3,1.1
831,Mehdi Léris,ALG,Centrocampista,Chievo,20,1998,23,18,1607,0,2,2,5,0,1.7,0.9
832,Karol Linetty,POL,Centrocampista,Sampdoria,23,1995,32,30,2507,3,3,6,11,0,2.1,2.8
833,Pol Lirola,ESP,Defensa,Sassuolo,20,1997,35,32,2975,2,6,8,2,0,1.6,6.3
834,Adem Ljajić,SRB,Centrocampista,Torino,26,1991,1,0,30,0,0,0,0,0,0.1,0.0
835,Manuel Locatelli,ITA,Centrocampista,Sassuolo,20,1998,29,21,1847,2,4,6,7,0,2.5,3.5
836,José Luis Palomino,ARG,Defensa,Atalanta,28,1990,30,25,2261,1,1,2,6,1,1.9,0.5
837,Everton Luiz,BRA,Centrocampista,SPAL,30,1988,10,2,317,0,0,0,5,0,0.1,0.0
838,Jordan Lukaku,BEL,Defensa,Lazio,24,1994,7,1,175,0,0,0,1,0,0.0,0.0
839,Saša Lukić,SRB,Centrocampista,Torino,21,1996,24,11,989,2,0,2,7,0,1.5,0.7
840,Senad Lulić,BIH,Defensa,Lazio,32,1986,35,34,2923,4,1,5,5,0,2.3,4.7
841,Sebastiano Luperto,ITA,Defensa,Napoli,21,1996,12,6,728,0,0,0,0,0,0.1,0.0
842,Lyanco,BRA,Defensa,Torino,21,1997,2,1,90,0,0,0,0,0,0.0,0.0
843,Lyanco,BRA,Defensa,Bologna,21,1997,13,13,1119,1,0,1,2,1,0.4,0.3
844,Charalambos Lykogiannis,GRE,Defensa,Cagliari,24,1993,11,9,830,0,1,1,1,0,0.3,1.6
845,Darwin Machís,VEN,Delantero,Udinese,25,1993,13,4,463,0,1,1,2,0,1.1,0.9
846,Francesco Magnanelli,ITA,Centrocampista,Sassuolo,33,1984,26,21,1859,0,0,0,4,1,0.3,0.2
847,Giangiacomo Magnani,ITA,Defensa,Sassuolo,22,1995,19,17,1516,0,1,1,2,0,0.2,0.2
848,Raffaele Maiello,ITA,Centrocampista,Frosinone,27,1991,29,22,2043,0,0,0,4,0,0.4,1.6
849,Domenico Maietta,ITA,Defensa,Empoli,35,1982,21,21,1714,0,0,0,5,0,0.3,0.2
850,Nikola Maksimović,SRB,Defensa,Napoli,26,1991,17,15,1375,0,0,0,4,0,0.1,0.1
851,Kévin Malcuit,MAR,Defensa,Napoli,27,1991,24,20,1805,0,2,2,3,0,0.4,2.0
852,Gianluca Mancini,ITA,Defensa,Atalanta,22,1996,30,25,2246,5,2,7,5,0,5.3,1.4
853,Rolando Mandragora,ITA,Centrocampista,Udinese,21,1997,35,33,2918,3,2,5,8,1,1.7,2.1
854,Mario Mandžukić,CRO,Delantero,Juventus,32,1986,25,23,2014,9,6,15,4,0,6.4,3.7
855,Kostas Manolas,GRE,Defensa,Roma,27,1991,27,27,2324,1,1,2,6,0,1.8,0.4
856,Juan Manuel Valencia,COL,Delantero,Bologna,20,1998,1,0,28,0,0,0,1,0,0.0,0.0
857,Iván Marcano,ESP,Defensa,Roma,31,1987,10,9,810,0,0,0,0,0,0.2,0.5
858,Federico Marchetti,ITA,PO,Genoa,35,1983,4,4,360,0,0,0,1,0,0.0,0.0
859,Gian Marco Ferrari,ITA,Defensa,Sassuolo,26,1992,31,31,2790,4,0,4,9,0,2.2,0.2
860,João Mário,POR,Centrocampista,Inter,25,1993,20,12,1082,1,2,3,2,0,1.0,2.0
861,Marlon,BRA,Defensa,Sassuolo,22,1995,18,18,1508,1,0,1,4,1,0.4,0.1
862,Lautaro Martínez,ARG,Delantero,Inter,20,1997,27,13,1344,6,2,8,4,0,7.7,3.0
863,Adam Marušić,MNE,Defensa,Lazio,25,1992,26,24,2111,1,1,2,2,1,1.0,1.3
864,Andrea Masiello,ITA,Defensa,Atalanta,32,1986,24,22,1836,0,2,2,5,0,1.4,0.6
865,Luca Matarese,ITA,Delantero,Frosinone,20,1998,2,0,16,0,0,0,1,0,0.0,0.0
866,Alessandro Matri,ITA,Delantero,Sassuolo,33,1984,19,6,603,2,0,2,3,0,3.2,0.4
867,Federico Mattiello,ITA,Defensa,Bologna,23,1995,17,16,1333,1,1,2,2,1,0.6,1.5
868,Blaise Matuidi,FRA,Centrocampista,Juventus,31,1987,31,29,2418,3,2,5,5,0,1.4,1.7
869,José Mauri,ITA,Centrocampista,Milan,22,1996,5,2,208,0,0,0,0,0,0.1,0.1
870,Stephy Mavididi,ENG,Delantero,Juventus,20,1998,1,0,22,0,0,0,0,0,0.0,0.0
871,Luca Mazzitelli,ITA,Centrocampista,Genoa,22,1995,10,3,323,0,0,0,3,0,0.4,0.1
872,Ibrahima Mbaye,SEN,Defensa,Bologna,23,1994,23,22,2010,2,0,2,6,0,2.7,0.2
873,Levan Mchedlidze,GEO,Delantero,Empoli,28,1990,11,0,208,0,1,1,1,0,0.2,0.1
874,Iuri Medeiros,POR,Centrocampista,Genoa,24,1994,2,2,106,0,0,0,0,0,0.1,0.2
875,Nicky Medja,SUI,Delantero,Fiorentina,18,2000,1,0,45,0,0,0,1,0,0.0,0.0
876,Riccardo Meggiorini,ITA,Delantero,Chievo,32,1985,24,18,1548,3,1,4,6,0,3.3,1.5
877,Soualiho Meïté,FRA,Centrocampista,Torino,24,1994,35,30,2659,2,4,6,7,1,1.2,2.3
878,Alex Meret,ITA,PO,Napoli,21,1997,14,13,1151,0,0,0,0,1,0.0,0.0
879,Dries Mertens,BEL,Delantero,Napoli,31,1987,35,23,2252,16,11,27,1,0,10.7,8.0
880,Petar Mićin,SRB,Centrocampista,Udinese,19,1998,1,0,3,0,0,0,0,0,0.0,0.0
881,Nikola Milenković,SRB,Defensa,Fiorentina,20,1997,34,34,3008,3,0,3,8,1,2.7,0.2
882,Arkadiusz Milik,POL,Delantero,Napoli,24,1994,35,27,2396,17,3,20,4,0,13.9,3.0
883,Sergej Milinković-Savić,SRB,Centrocampista,Lazio,23,1995,31,29,2396,5,3,8,7,1,6.4,4.5
884,Vanja Milinković-Savić,SRB,PO,SPAL,21,1997,2,2,164,0,0,0,1,1,0.0,0.0
885,Vincenzo Millico,ITA,Centrocampista,Torino,17,2000,1,0,1,0,0,0,0,0,0.0,0.0
886,Kevin Mirallas,BEL,Delantero,Fiorentina,30,1987,27,15,1299,2,1,3,2,0,3.3,1.4
887,Miranda,BRA,Defensa,Inter,33,1984,14,14,1158,0,0,0,3,0,0.3,0.1
888,Antonio Mirante,ITA,PO,Roma,35,1983,11,11,990,0,0,0,0,0,0.0,0.0
889,Simone Missiroli,ITA,Centrocampista,SPAL,32,1986,34,33,2741,0,0,0,9,0,0.6,1.3
890,Cristian Molinaro,ITA,Defensa,Frosinone,35,1983,14,13,1159,0,0,0,2,0,0.0,1.1
891,Gabriele Moncini,ITA,Centrocampista,SPAL,22,1996,1,0,8,0,0,0,0,0,0.0,0.0
892,Cristóbal Montiel,ESP,Delantero,Fiorentina,18,2000,1,0,6,0,0,0,0,0,0.0,0.4
893,Emiliano Moretti,ITA,Defensa,Torino,37,1981,24,22,2010,0,0,0,5,0,0.0,0.1
894,Samuel Mráz,SVK,Delantero,Empoli,21,1997,6,2,170,1,0,1,0,0,0.8,0.3
895,Gianni Munari,ITA,Centrocampista,Parma,35,1983,1,0,3,0,0,0,0,0,0.0,0.0
896,Alessandro Murgia,ITA,Centrocampista,SPAL,21,1996,15,11,1072,0,3,3,1,0,0.8,1.8
897,Alessandro Murgia,ITA,Centrocampista,Lazio,21,1996,1,0,9,0,0,0,0,0,0.0,0.0
898,Luis Muriel,COL,Delantero,Fiorentina,27,1991,19,16,1441,6,0,6,1,0,3.5,1.5
899,Nicola Murru,ITA,Defensa,Sampdoria,23,1994,35,34,2934,0,5,5,9,0,0.4,3.5
900,Mateo Musacchio,ARG,Defensa,Milan,27,1990,29,29,2610,1,0,1,2,0,2.0,0.4
901,Juan Musso,ARG,PO,Udinese,24,1994,29,29,2610,0,0,0,4,0,0.0,0.1
902,Ádám Nagy,HUN,Centrocampista,Bologna,23,1995,14,10,975,0,0,0,3,1,0.2,0.5
903,Radja Nainggolan,BEL,Centrocampista,Inter,30,1988,29,22,1967,6,3,9,3,0,3.8,3.4
904,Angelo Ndrecka,ALB,Defensa,Chievo,16,2001,1,1,90,0,0,0,0,0,0.0,0.1
905,Pedro Neto,POR,Delantero,Lazio,18,2000,4,0,46,0,0,0,1,0,0.0,0.1
906,Hans Nicolussi Caviglia,ITA,Centrocampista,Juventus,18,2000,3,0,57,0,0,0,0,0,0.0,0.0
907,Dimitris Nikolaou,GRE,Defensa,Empoli,19,1998,4,4,348,0,0,0,0,0,0.0,0.0
908,Nicolas Nkoulou,CMR,Defensa,Torino,28,1990,36,36,3214,2,0,2,7,1,1.0,0.1
909,Bram Nuytinck,NED,Defensa,Udinese,28,1990,27,24,2127,0,0,0,4,1,0.2,0.4
910,Steven Nzonzi,FRA,Centrocampista,Roma,29,1988,30,29,2617,1,2,3,7,0,1.7,2.1
911,Christian Nørgaard,DEN,Centrocampista,Fiorentina,24,1994,6,4,323,0,0,0,0,0,0.0,0.1
912,Dimitri Oberlin,SUI,Delantero,Empoli,20,1997,5,0,139,0,0,0,0,0,0.0,0.1
913,Joel Obi,NGA,Centrocampista,Chievo,27,1991,11,9,659,1,0,1,1,0,1.0,1.0
914,Jens Odgaard,DEN,Delantero,Sassuolo,19,1999,1,0,16,0,0,0,0,0,0.0,0.0
915,Stefano Okaka,ITA,Delantero,Udinese,28,1989,16,11,970,6,1,7,4,0,2.6,0.9
916,Orji Okwonkwo,NGA,Delantero,Bologna,20,1998,8,2,257,0,0,0,2,0,0.4,0.1
917,Robin Olsen,SWE,PO,Roma,28,1990,27,27,2430,0,0,0,2,0,0.0,0.1
918,Stephane Omeonga,BEL,Centrocampista,Genoa,22,1996,3,0,57,0,0,0,1,0,0.0,0.1
919,Nicholas Opoku,GHA,Defensa,Udinese,20,1997,12,9,910,0,0,0,5,0,0.4,0.0
920,Riccardo Orsolini,ITA,Delantero,Bologna,21,1997,35,19,1964,8,5,13,2,0,5.1,2.8
921,David Ospina,COL,PO,Napoli,29,1988,17,16,1457,0,0,0,0,0,0.0,0.0
922,Adam Ounas,ALG,Centrocampista,Napoli,21,1996,18,6,538,3,0,3,0,0,1.4,1.9
923,Simone Padoin,ITA,Defensa,Cagliari,34,1984,30,22,1915,0,2,2,2,0,0.1,1.1
924,Luca Paganini,ITA,Defensa,Frosinone,25,1993,14,12,1123,2,0,2,2,0,2.7,0.4
925,Marko Pajač,CRO,Delantero,Empoli,25,1993,10,9,738,2,2,4,5,0,0.4,1.3
926,Marko Pajač,CRO,Defensa,Cagliari,25,1993,3,0,100,0,0,0,0,0,0.0,0.1
927,Rodrigo Palacio,ARG,Delantero,Bologna,36,1982,28,26,2329,3,6,9,6,0,5.3,4.2
928,Alberto Paloschi,ITA,Delantero,SPAL,28,1990,23,8,863,2,0,2,3,0,2.8,0.6
929,Goran Pandev,MKD,Delantero,Genoa,35,1983,26,12,1122,4,2,6,6,0,3.2,1.6
930,Lucas Paquetá,BRA,Centrocampista,Milan,20,1997,13,12,842,1,1,2,5,1,1.3,0.8
931,Vittorio Parigini,ITA,Centrocampista,Torino,22,1996,17,2,377,0,0,0,2,0,0.7,1.1
932,Marco Parolo,ITA,Centrocampista,Lazio,33,1985,34,28,2563,4,3,7,7,0,5.5,3.8
933,Mario Pašalić,CRO,Centrocampista,Atalanta,23,1995,33,17,1618,5,3,8,1,0,4.2,1.8
934,Manuel Pasqual,ITA,Defensa,Empoli,36,1982,22,13,1342,1,2,3,2,0,1.1,2.5
935,Javier Pastore,ARG,Centrocampista,Roma,29,1989,14,7,597,3,0,3,0,0,2.7,0.9
936,Patric,ESP,Defensa,Lazio,25,1993,15,12,1085,0,0,0,1,0,1.2,1.2
937,Leonardo Pavoletti,ITA,Delantero,Cagliari,29,1988,32,31,2734,16,1,17,6,0,11.3,1.6
938,Nehuén Paz,ARG,Defensa,Bologna,25,1993,2,1,114,0,0,0,1,0,0.0,0.0
939,João Pedro,ITA,Delantero,Cagliari,26,1992,34,30,2555,7,2,9,5,1,8.5,3.5
940,Gianluca Pegolo,ITA,PO,Sassuolo,37,1981,3,2,203,0,0,0,1,0,0.0,0.0
941,Lorenzo Pellegrini,ITA,Centrocampista,Roma,22,1996,25,21,1821,2,3,5,6,0,4.2,4.6
942,Luca Pellegrini,ITA,Defensa,Cagliari,19,1999,12,11,940,0,1,1,3,1,0.0,0.9
943,Luca Pellegrini,ITA,Defensa,Roma,19,1999,4,2,161,0,1,1,2,0,0.0,0.4
944,Sergio Pellissier,ITA,Delantero,Chievo,39,1979,19,12,953,4,1,5,1,0,5.5,2.0
945,Federico Peluso,ITA,Defensa,Sassuolo,34,1984,16,14,1356,1,0,1,5,0,0.5,0.0
946,Pepín,EQG,Centrocampista,Parma,21,1996,2,1,77,0,1,1,0,0,0.1,0.2
947,Pedro Pereira,POR,Defensa,Genoa,20,1998,26,15,1384,0,0,0,1,0,0.1,1.3
948,Stipe Perica,CRO,Delantero,Frosinone,23,1995,7,6,480,0,0,0,3,0,1.0,0.0
949,Mattia Perin,ITA,PO,Juventus,25,1992,9,9,810,0,0,0,1,0,0.0,0.0
950,Ivan Perišić,CRO,Delantero,Inter,29,1989,34,30,2701,8,3,11,5,0,9.8,6.8
951,Diego Perotti,ARG,Delantero,Roma,30,1988,13,6,668,5,0,5,3,0,3.6,2.4
952,Matteo Pessina,ITA,Centrocampista,Atalanta,21,1997,12,1,235,0,1,1,0,0,0.1,0.1
953,Andrea Petagna,ITA,Delantero,SPAL,23,1995,36,35,3031,16,1,17,8,0,13.5,2.2
954,Germán Pezzella,ARG,Defensa,Fiorentina,27,1991,32,32,2850,2,1,3,5,0,3.0,0.6
955,Giuseppe Pezzella,ITA,Defensa,Udinese,20,1997,4,2,184,0,0,0,1,0,0.0,0.1
956,Giuseppe Pezzella,ITA,Defensa,Genoa,20,1997,5,1,112,0,0,0,0,1,0.0,0.1
957,Krzysztof Piątek,POL,Delantero,Genoa,23,1995,19,18,1593,13,0,13,5,0,9.1,1.4
958,Krzysztof Piątek,POL,Delantero,Milan,23,1995,18,16,1373,9,0,9,0,0,6.9,1.2
959,Lucas Piazon,BRA,Centrocampista,Chievo,24,1994,4,0,84,0,0,0,0,0,0.1,0.0
960,Roberto Piccoli,ITA,Delantero,Atalanta,17,2001,2,0,48,0,0,0,0,0,0.1,0.0
961,Andrea Pinamonti,ITA,Delantero,Frosinone,19,1999,27,17,1625,5,3,8,2,0,6.5,0.5
962,Carlo Pinsoglio,ITA,PO,Juventus,28,1990,1,1,90,0,0,0,0,0,0.0,0.0
963,Fabio Pisacane,ITA,Defensa,Cagliari,32,1986,27,24,2266,1,1,2,6,0,0.8,1.2
964,Marko Pjaca,CRO,Delantero,Fiorentina,23,1995,19,8,750,1,1,2,1,0,1.6,1.0
965,Miralem Pjanić,BIH,Centrocampista,Juventus,28,1990,31,27,2280,2,6,8,6,1,1.2,5.9
966,Andrea Poli,ITA,Centrocampista,Bologna,28,1989,30,23,1932,4,1,5,5,0,3.6,0.9
967,Matteo Politano,ITA,Delantero,Inter,24,1993,36,31,2549,5,6,11,4,1,4.6,5.6
968,Giacomo Poluzzi,ITA,PO,SPAL,30,1988,1,0,6,0,0,0,0,0,0.0,0.0
969,Manolo Portanova,ITA,Centrocampista,Juventus,18,2000,1,0,33,0,0,0,1,0,0.0,0.0
970,Dennis Praet,BEL,Centrocampista,Sampdoria,24,1994,34,33,2890,2,3,5,6,0,2.3,5.0
