,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
3184,Pablo Galdames Millán,CHI,Centrocampista,Cremonese,25,1996,13,10,734,1,2,3,2,0,0.3,1.1
3185,Antonino Gallo,ITA,Defensa,Lecce,22,2000,32,28,2486,0,1,1,5,1,0.6,1.9
3186,Federico Gatti,ITA,Defensa,Juventus,24,1998,18,16,1448,0,0,0,4,0,0.6,1.5
3187,Valentin Gendrey,FRA,Defensa,Lecce,22,2000,37,35,3101,0,2,2,4,0,0.6,2.9
3188,Paolo Ghiglione,ITA,Defensa,Cremonese,25,1997,15,8,711,1,1,2,4,0,0.8,0.6
3189,Mario Gila,ESP,Defensa,Lazio,21,2000,4,0,90,0,0,0,0,0,0.0,0.0
3190,Gvidas Gineitis,LTU,Centrocampista,Torino,18,2004,3,2,136,0,0,0,2,0,0.0,0.0
3191,Olivier Giroud,FRA,Delantero,Milan,35,1986,33,25,2139,13,5,18,8,1,12.7,4.0
3192,Pierluigi Gollini,ITA,PO,Fiorentina,27,1995,3,3,270,0,0,0,0,0,0.0,0.0
3193,Pierluigi Gollini,ITA,PO,Napoli,27,1995,4,4,360,0,0,0,0,0,0.0,0.0
3194,Joan Gonzàlez,ESP,Centrocampista,Lecce,20,2002,35,26,2197,1,3,4,8,0,1.5,1.3
3195,Nicolás González,ARG,Delantero,Fiorentina,24,1998,24,13,1354,6,1,7,3,0,6.7,1.3
3196,Robin Gosens,GER,Defensa,Inter,28,1994,32,11,1184,3,0,3,2,0,3.0,2.4
3197,Alberto Grassi,ITA,Centrocampista,Empoli,27,1995,25,14,1194,0,0,0,3,0,0.6,0.4
3198,Andrew Gravillon,GLP,Defensa,Torino,24,1998,7,4,312,0,0,0,2,0,0.0,0.0
3199,Axel Guessand,FRA,Defensa,Udinese,17,2004,1,1,79,0,0,0,0,0,0.0,0.0
3200,Koray Günter,GER,Defensa,Hellas Verona,27,1994,13,11,1003,1,0,1,3,0,0.9,0.9
3201,Koray Günter,GER,Defensa,Sampdoria,27,1994,10,8,776,0,0,0,2,0,0.1,0.2
3202,Emmanuel Gyasi,GHA,Delantero,Spezia,28,1994,35,35,2810,2,0,2,10,0,4.0,1.9
3203,Norbert Gyömbér,SVK,Defensa,Salernitana,30,1992,27,23,1740,0,1,1,5,0,0.7,0.6
3204,Christian Gytkjær,DEN,Delantero,Monza,32,1990,22,3,559,1,0,1,0,0,3.9,0.3
3205,Nicolas Haas,SUI,Centrocampista,Empoli,26,1996,24,12,1156,1,1,2,2,0,1.2,0.9
3206,Samir Handanović,SVN,PO,Inter,38,1984,14,14,1234,0,0,0,0,0,0.0,0.0
3207,Abdou Harroui,NED,Centrocampista,Sassuolo,24,1998,23,5,647,2,0,2,2,0,1.5,0.3
3208,Hans Hateboer,NED,Defensa,Atalanta,28,1994,17,17,1397,1,1,2,7,0,1.3,1.5
3209,Liam Henderson,SCO,Centrocampista,Empoli,26,1996,25,11,1007,0,1,1,9,0,0.5,1.4
3210,Jack Hendry,SCO,Defensa,Cremonese,27,1995,4,2,220,0,0,0,1,0,0.0,0.0
3211,Matheus Henrique,BRA,Centrocampista,Sassuolo,24,1997,30,21,1947,4,1,5,4,0,2.9,1.8
3212,Thomas Henry,FRA,Delantero,Hellas Verona,27,1994,16,13,1030,2,0,2,4,0,1.7,1.1
3213,Theo Hernández,FRA,Defensa,Milan,24,1997,32,32,2771,4,3,7,7,0,4.1,3.3
3214,Isak Hien,SWE,Defensa,Hellas Verona,23,1999,32,28,2607,0,0,0,9,0,0.3,0.1
3215,Morten Hjulmand,DEN,Centrocampista,Lecce,23,1999,35,34,2962,0,4,4,9,1,0.6,2.1
3216,Emil Holm,SWE,Defensa,Spezia,22,2000,20,17,1393,1,1,2,4,0,1.2,1.3
3217,Martin Hongla,CMR,Centrocampista,Hellas Verona,24,1998,9,6,523,0,0,0,4,0,0.2,0.3
3218,Petko Hristov,BUL,Defensa,Spezia,23,1999,9,4,365,0,0,0,0,0,0.1,0.0
3219,Ajdin Hrustic,AUS,Centrocampista,Hellas Verona,26,1996,6,3,226,0,0,0,0,0,0.3,0.6
3220,Elseid Hysaj,ALB,Defensa,Lazio,28,1994,34,22,1998,1,1,2,3,0,0.2,1.1
3221,Rasmus Højlund,DEN,Delantero,Atalanta,19,2003,32,20,1834,9,2,11,1,0,9.5,2.4
3222,Roger Ibanez,BRA,Defensa,Roma,23,1998,33,32,2796,3,0,3,11,1,3.0,0.6
3223,Zlatan Ibrahimović,SWE,Delantero,Milan,40,1981,4,1,146,1,0,1,0,0,1.2,0.2
3224,Antonio Iervolino,ITA,Centrocampista,Salernitana,19,2003,1,0,5,0,0,0,0,0,0.0,0.0
3225,Igor,BRA,Defensa,Fiorentina,24,1998,27,23,2057,0,0,0,10,1,0.5,0.2
3226,Jonathan Ikone,FRA,Delantero,Fiorentina,24,1998,33,24,2007,4,4,8,4,0,4.1,3.7
3227,Ivan Ilić,SRB,Centrocampista,Hellas Verona,21,2001,11,10,851,0,1,1,1,0,0.4,1.0
3228,Ivan Ilić,SRB,Centrocampista,Torino,21,2001,14,13,1177,2,2,4,3,0,0.2,1.1
3229,Samuel Iling-Junior,ENG,Defensa,Juventus,18,2003,12,1,318,1,1,2,1,0,0.7,0.2
3230,Emirhan İlkhan,TUR,Centrocampista,Torino,18,2004,4,1,87,0,0,0,1,0,0.0,0.1
3231,Emirhan İlkhan,TUR,Centrocampista,Sampdoria,18,2004,8,0,113,0,0,0,0,0,0.0,0.1
3232,Ciro Immobile,ITA,Delantero,Lazio,32,1990,31,27,2219,12,5,17,3,0,14.2,1.9
3233,Ardian Ismajli,ALB,Defensa,Empoli,25,1996,25,22,2094,0,0,0,3,0,0.7,0.3
3234,Mihailo Ivanović,SRB,Delantero,Sampdoria,17,2004,1,0,4,0,0,0,0,0,0.0,0.0
3235,Armando Izzo,ITA,Defensa,Monza,30,1992,30,29,2466,1,0,1,10,0,2.1,0.9
3236,Mato Jajalo,BIH,Centrocampista,Udinese,34,1988,3,0,63,0,0,0,0,0,0.0,0.0
3237,Jesé,ESP,Delantero,Sampdoria,29,1993,11,1,210,1,1,2,0,0,0.3,0.5
3238,Juan Jesus,BRA,Defensa,Napoli,31,1991,15,10,933,1,0,1,2,0,0.2,0.1
3239,Þórir Jóhann Helgason,ISL,Centrocampista,Lecce,21,2000,12,2,222,0,0,0,0,0,0.1,0.4
