RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
42,Alex Baena,es ESP,CC,Villarreal,19,2001,6,2,137,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,5,12,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Partidos
43,Miguel Baeza,es ESP,"CC,DL",Celta Vigo,20,2000,22,4,543,6.0,1,0,1,1,0,0,0,0,1.6,1.6,0.7,2.3,9,15,26,0.17,0.00,0.17,0.17,0.17,0.26,0.12,0.38,0.26,0.38,Partidos
44,Mikel Balenziaga,es ESP,DF,Athletic Club,32,1988,23,17,1689,18.8,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,28,52,48,0.00,0.05,0.05,0.00,0.05,0.00,0.04,0.05,0.00,0.05,Partidos
45,Barcia,es ESP,DF,Granada,19,2000,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
46,Enis Bardhi,mk MKD,CC,Levante,25,1995,26,19,1682,18.7,1,2,3,1,0,0,4,0,2.7,2.7,1.1,3.9,44,117,117,0.05,0.11,0.16,0.05,0.16,0.15,0.06,0.21,0.15,0.21,Partidos
47,Kike Barja,es ESP,"CC,DL",Osasuna,23,1997,33,17,1433,15.9,2,3,5,2,0,0,2,0,2.6,2.6,2.0,4.6,46,55,143,0.13,0.19,0.31,0.13,0.31,0.16,0.12,0.29,0.16,0.29,Partidos
48,Marc Baró,es ESP,DF,Cádiz,20,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,3,0,2,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.17,0.03,0.17,Partidos
49,Antonio Barragán,es ESP,DF,Elche,33,1987,27,26,2235,24.8,0,3,3,0,0,0,8,0,0.9,0.9,0.7,1.6,34,69,63,0.00,0.12,0.12,0.00,0.12,0.04,0.03,0.07,0.04,0.07,Partidos
50,Ander Barrenetxea,es ESP,"CC,DL",Real Sociedad,18,2001,31,13,1307,14.5,3,0,3,3,0,0,7,0,1.9,1.9,1.9,3.8,37,37,106,0.21,0.00,0.21,0.21,0.21,0.13,0.13,0.26,0.13,0.26,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
